Time,x,y
10.479,8.341662733,1.040187936
10.517,8.384402304,1.048707742
10.556,8.427127707,1.057070136
10.594,8.470980992,1.065471837
10.632,8.513728317,1.073467254
10.67,8.55650808,1.08126316
10.708,8.599332569,1.088852402
10.746,8.642212465,1.096231426
10.784,8.685155131,1.103399194
10.822,8.72816467,1.110355871
10.86,8.771244419,1.117102499
10.898,8.814396912,1.123641709
10.936,8.857625773,1.129978626
10.975,8.902078338,1.136280343
11.013,8.945483079,1.142234434
11.052,8.990131879,1.148167173
11.09,9.03374073,1.153787494
11.128,9.077457961,1.159263059
11.166,9.12129028,1.16460862
11.205,9.166402009,1.169976406
11.243,9.210484217,1.175108942
11.282,9.254695207,1.180164434
11.318,9.297866643,1.185031684
11.356,9.342331218,1.189993694
11.395,9.386922573,1.194940442
11.432,9.432817489,1.20002925
11.47,9.476481152,1.204900105
11.508,9.521450508,1.209983987
11.546,9.566549362,1.215192545
11.584,9.611780764,1.220571971
11.622,9.6571473,1.2261701
11.66,9.702650937,1.232033584
11.698,9.748292937,1.23820529
11.736,9.794073094,1.24472232
11.774,9.839988715,1.251615864
11.812,9.886031598,1.258910817
11.85,9.932191015,1.266628483
11.888,9.978456811,1.274789434
11.926,10.02480993,1.283406575
11.963,10.07120303,1.292470448
12,10.11633011,1.301686367
12.038,10.16129324,1.311220111
12.076,10.20714499,1.321246725
12.114,10.25248442,1.331396533
12.151,10.29595515,1.341280045
12.189,10.33972478,1.351315149
12.227,10.38243829,1.361126821
12.264,10.4293117,1.371844235
12.302,10.46308501,1.379492973
12.34,10.50186437,1.388158673
12.378,10.53911191,1.396321864
12.415,10.57381304,1.403739855
12.453,10.60771102,1.410763131
12.491,10.63963683,1.417131949
12.529,10.66928387,1.422797304
12.567,10.6962486,1.427715052
12.605,10.7200477,1.431846735
12.643,10.74014773,1.435159303
12.681,10.75602376,1.437627669
12.719,10.76728949,1.439246979
12.757,10.77383051,1.440046606
12.795,10.77581077,1.440091153
