Time,traj,gen
5.98,-2.3362785306015574,-2.336275965820495
5.99,-2.3335346150743,-2.3335321557183017
6.0,-2.3307754473269253,-2.3307731001326664
6.01,-2.328001215686683,-2.3279989871374775
6.0200000000000005,-2.32521211006622,-2.3252100063726338
6.03,-2.322408321967325,-2.3224063490480473
6.04,-2.3195900444846904,-2.319588207947713
6.05,-2.3167574723096886,-2.3167557774338334
6.0600000000000005,-2.3139108017341568,-2.3139092534510097
6.07,-2.311050230654192,-2.3110488335304855
6.08,-2.3081759585739565,-2.308174716794458
6.09,-2.3052881866094874,-2.30528710396044
6.1000000000000005,-2.302387117492513,-2.302386197345685
6.11,-2.2994729555742692,-2.299472200871663
6.12,-2.2965459068293232,-2.296545320068597
6.13,-2.293606178859388,-2.2936057620800487
6.140000000000001,-2.290653980897141,-2.2906537356675596
6.15,-2.287689523810034,-2.2876894512153387
6.16,-2.2847130201040957,-2.2847131207350038
6.17,-2.2817246839277296,-2.281724957870365
6.18,-2.278724731075493,-2.278725177902256
6.19,-2.275713378991865,-2.275713997753407
6.2,-2.2726908467750007,-2.2726916359933558
6.21,-2.2696573551804584,-2.269658312843398
6.22,-2.266613126624911,-2.2666142501815716
6.23,-2.263558385189828,-2.26355967154767
6.24,-2.2604933566251324,-2.260494802148286
6.25,-2.2574182683528212,-2.2574198688618807
6.26,-2.2543333494705573,-2.25433510024387
6.2700000000000005,-2.251238830755218,-2.2512407265317287
6.28,-2.248134944666404,-2.2481369796501096
6.29,-2.2450219253499055,-2.2450240932159686
6.3,-2.2419000086411143,-2.2419023025436924
6.3100000000000005,-2.2387694320683877,-2.2387718446502265
6.32,-2.2356304348563527,-2.2356329582601946
6.33,-2.232483257929151,-2.232485883811007
6.34,-2.2293281439136177,-2.2293308634579496
6.3500000000000005,-2.2261653371423895,-2.226168141079248
6.36,-2.2229950836569414,-2.2229979622811027
6.37,-2.2198176312105415,-2.2198205744026827
6.38,-2.2166332292711233,-2.2166362265210773
6.390000000000001,-2.2134421290240676,-2.2134451694561954
6.4,-2.2102445833748914,-2.210247655775602
6.41,-2.2070408469518368,-2.2070439397992896
6.42,-2.203831176108354,-2.2038342776043676
6.43,-2.200615828925474,-2.2006189270296703
6.44,-2.197395065214062,-2.1973981476802678
6.45,-2.1941691465169497,-2.19417220093187
6.46,-2.1909383361109396,-2.190941349935117
6.47,-2.187702899008667,-2.1877058596197423
6.48,-2.1844631019603247,-2.1844659966985995
6.49,-2.181219213455236,-2.1812220296715386
6.5,-2.1779715037232696,-2.177974228829123
6.51,-2.1747202447360907,-2.1747228662561735
6.5200000000000005,-2.1714657102082393,-2.171468215835124
6.53,-2.16820817559803,-2.168210553249178
6.54,-2.1649479181082585,-2.164950155985255
6.55,-2.1616852166867218,-2.1616873033367017
6.5600000000000005,-2.15842035202652,-2.1584222764057657
6.57,-2.1551536065661536,-2.1551553581058096
6.58,-2.1518852644893953,-2.151886833163247
6.59,-2.1486156117249267,-2.1486169881191906
6.6000000000000005,-2.1453449359457357,-2.1453461113307886
6.61,-2.142073526568261,-2.142074492972237
6.62,-2.1388016747512726,-2.138802425035444
6.63,-2.1355296733944824,-2.135530201330334
6.640000000000001,-2.1322578171368693,-2.1322581174847643
6.65,-2.128986402354709,-2.1289864709440396
6.66,-2.125715727159301,-2.1257155609700025
6.67,-2.122446091394374,-2.1224456886396763
6.68,-2.1191777966331653,-2.11917715684344
6.69,-2.115911146175155,-2.115910270282715
6.7,-2.11264644504245,-2.1126453354671306
6.71,-2.1093839999757917,-2.10938266071116
6.72,-2.106124119430199,-2.106122556130187
6.73,-2.1028671135701984,-2.1028653336359837
6.74,-2.0996132942646595,-2.0996113069315814
6.75,-2.0963629750812016,-2.0963607915054903
6.76,-2.093116471280166,-2.0931141046252586
6.7700000000000005,-2.089874099808134,-2.0898715653303324
6.78,-2.0866361792909793,-2.0866334944241895
6.79,-2.083403030026437,-2.083400214465723
6.8,-2.0801749739761712,-2.080172049759837
6.8100000000000005,-2.076952334757333,-2.0769493263472283
6.82,-2.073735437633578,-2.0737323719933274
6.83,-2.070524609505541,-2.070521516176354
6.84,-2.067320178900741,-2.0673170900744697
6.8500000000000005,-2.0641224759629,-2.0641194265519864
6.86,-2.060931832440662,-2.060928860144594
6.87,-2.057748581675685,-2.0577457270435846
6.88,-2.0545730585901016,-2.054570365079028
6.890000000000001,-2.0514055996733056,-2.0514031137018685
6.9,-2.04824654296807,-2.048244313964904
6.91,-2.045096228055959,-2.0450943085026174
6.92,-2.0419549960420205,-2.0419534415098175
6.93,-2.038823189538736,-2.0388220587190546
6.94,-2.035701152649209,-2.035700507376774
6.95,-2.032589230949565,-2.032589136218173
6.96,-2.0294877714705475,-2.0294882954407134
6.97,-2.026397122678284,-2.0263983366762677
6.98,-2.023317634454197,-2.0233196129618416
6.99,-2.020249658074043,-2.020252478708851
7.0,-2.017193546186048,-2.017197289670905
7.01,-2.0141496527881246,-2.0141544029100604
7.0200000000000005,-2.011118333204138,-2.011124176761506
7.03,-2.0080999440591993,-2.0081069707966446
7.04,-2.00509484325397,-2.0051031457845245
7.05,-2.0021033899379304,-2.0021130636515942
