t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
1.21,0.12112112112112113,-19.212646162369197,-35.826456736403806,13.166481584622227,8.967593373568661,27.752113103989867,-20.43173904717424,36.981170530985175,11.430290643004662,1.8448440712028755,-27.16115777385436,-36.042843063220104,-29.41775837024656,8.427993788007296,-22.045322129954084,12.681553459082712,34.009036756174076,1.0610605462493625,-31.585331463708496,-39.47061786766063,30.359212659259775,5.978203035012581,-18.643548597854757,8.398521298659029,26.0933627905962,12.586303492110355,12.776993134593315,21.978960087740358,22.6286790121443,-37.05058039928514,-34.3497251646913,29.562445694902195,26.991754363508644
1.22,0.12212212212212212,-19.213518452621276,-35.82776472610063,13.167884004635528,8.969031552570822,27.752529756937196,-20.43050187402959,36.98275192592355,11.433422205095711,1.8416760208658323,-27.16192850221991,-36.04691814447706,-29.416143513542604,8.426199367924665,-22.04541205281766,12.682220932725574,34.006689076778734,1.0610427314031106,-31.587151514631138,-39.46998030194734,30.36167806463415,5.9827348705860945,-18.641821730169436,8.394988986756438,26.0936619656257,12.587074396521185,12.778309930652588,21.9807742944053,22.62736054135946,-37.05021049055167,-34.353089496860925,29.562865423312783,26.99039140024581
1.23,0.12312312312312312,-19.214393885535575,-35.82908179174842,13.169299029355683,8.970474072812243,27.752939560978202,-20.429245711473904,36.98434693584184,11.436579116535409,1.8384844740752875,-27.162699199509685,-36.05101790896314,-29.414516413972724,8.424382262333133,-22.04550221876687,12.682899699633781,34.00431508261362,1.0610234949979314,-31.588962523807357,-39.46932843789602,30.364168509134046,5.987298427399059,-18.640070912650067,8.39141346209463,26.093957243132778,12.587858655889725,12.779645510006617,21.98259095656741,22.626026790319408,-37.04983681720059,-34.356489644806835,29.563287064297832,26.989001767303545
1.24,0.12412412412412413,-19.215272428044667,-35.83040805573744,13.17072671549231,8.971920736662918,27.75334236831917,-20.42797039304305,36.98595577116294,11.439761406829234,1.835269522919581,-27.16346979604272,-36.0551422101152,-29.412877257235053,8.422542259265335,-22.045592720900753,12.683589991194895,34.0019147515541,1.0610028023439777,-31.590764119836898,-39.46866217471623,30.36668424739893,5.991893557429778,-18.638295984127566,8.38779445543881,26.094248591621277,12.588656451806674,12.781000126159455,21.98440986869101,22.62467773828407,-37.049459511168635,-34.359925978827235,29.56371070518063,26.98758521103136
1.25,0.12512512512512514,-19.21615404643259,-35.831743642247254,13.172167118915597,8.973371343422809,27.7537380297254,-20.426675749438964,36.98757864539933,11.442969106417602,1.832031261142268,-27.164240220563606,-36.059290897687205,-29.4112262325232,8.420679142978925,-22.04568365342545,12.684292041628577,33.999488062011636,1.060980618202083,-31.592555930781042,-39.46798140935415,30.369225537111134,5.99652011035537,-18.636496783087573,8.38413169861285,26.094535979893827,12.589467965062672,12.78237403382446,21.986230823868908,22.623313364409892,-37.04907870552693,-34.36339887424264,29.564136434041988,26.986141477276274
1.26,0.12612612612612611,-19.21703870632567,-35.83308867726698,13.173620294599495,8.974825689303861,27.75412639451884,-20.42536160848516,36.989215775155685,11.44620224671167,1.8287697841713095,-27.165010400213728,-36.06346381770916,-29.409563532583917,8.41879269392135,-22.04577511165155,12.685006087974728,33.9970349929648,1.0609569067734477,-31.59433758418425,-39.467286036448556,30.371792639022274,6.001177933526806,-18.634673147738155,8.380424924682949,26.094819377062215,12.590293375556882,12.783767488821601,21.988053613828825,22.621933647751042,-37.048694534482365,-34.366908711444545,29.56456433971702,26.98467031146023
1.27,0.12712712712712712,-19.21792637268327,-35.83444328861573,13.175086296563519,8.976283567412636,27.754507310575928,-20.424027795081678,36.99086738012978,11.449460860129559,1.8254851891487138,-27.16578026050215,-36.067660812446626,-29.407889353775275,8.416882688695612,-22.04586719199109,12.685732370079831,33.9945555239909,1.060931631688996,-31.596108707095212,-39.466575948285666,30.37438581697953,6.005866871943452,-18.632824916079784,8.37667386814771,26.09509875255786,12.591132862203578,12.78518074796993,21.989878028940105,22.62053856726018,-37.04830713337873,-34.370455875943065,29.564994511791873,26.983171458659573
1.28,0.12812812812812813,-19.2188170097884,-35.83580760596322,13.17656517781312,8.97774476773357,27.754880624325747,-20.422674131159454,36.99253368311153,11.452744980132957,1.8221775749606282,-27.166549725276187,-36.07188172036074,-29.406203896125344,8.414948900027062,-22.045959991954145,12.6864711305815,33.99204963529844,1.0609047559983926,-31.597868926087333,-39.46585103475296,30.377005337951836,6.010586768227082,-18.630951925977524,8.37287826513474,26.09537407614242,12.591986602836768,12.78661406897513,21.991703858220713,22.6191281017888,-37.047916638697664,-34.37404075841354,29.56542704060042,26.981644663686644
1.29,0.12912912912912913,-19.219710581238303,-35.83718176085054,13.178056990278609,8.979209077112927,27.7552461807484,-20.42130043563418,36.994214909980215,11.456054641264092,1.8188470422678775,-27.167318716691636,-36.07612637606894,-29.404507363391343,8.412991096731329,-22.046053610145098,12.687222614891095,33.98951730776034,1.0608762421587183,-31.599617867278607,-39.46511118329178,30.3796514720559,6.015337462595369,-18.629054015235536,8.369037853603887,26.095645317918514,12.592854774112839,12.788067710312005,21.993530889344555,22.61770223008708,-37.047523188059365,-34.377663754741924,29.565862017220937,26.980089671173566
1.3,0.13013013013013014,-19.220607049934912,-35.83856588671115,13.179561784752606,8.980676279243443,27.755603823373693,-20.419906524359583,36.99591128969959,11.459389879183057,1.8154936935369463,-27.16808715518266,-36.08039461030617,-29.402799963119268,8.411009043683451,-22.046148146258453,12.687987071174403,33.986958522947845,1.0608460520227962,-31.60135515635092,-39.46435627884883,30.38232449258202,6.020118792834797,-18.627131021673886,8.365152373557239,26.095912448340545,12.593737551411223,12.789541931101802,21.995358908649074,22.616260930803264,-37.04712692022307,-34.38132526606881,29.566299533472744,26.97850622565818
1.31,0.13113113113113112,-19.22150637807526,-35.83996011889198,13.181079610826025,8.982146154649728,27.755953394280105,-20.41849221008022,36.99762305431106,11.462750730705457,1.812117633071398,-27.168854959431368,-36.08468624988687,-29.401081906703986,8.409002501788288,-22.046243701074307,12.688764750330293,33.98437326316531,1.0608141468271646,-31.603080418568783,-39.46358620382644,30.38502467601966,6.024930594273001,-18.625182783207713,8.361221567255985,26.09617543822564,12.594635108733094,12.791036990984246,21.997187701143204,22.61480418248252,-37.04672797508728,-34.38502569883203,29.56673968191282,26.976894071672234
1.32,0.13213213213213212,-19.22240852714181,-35.84136459467472,13.182610516822535,8.983618480674435,27.756294734094084,-20.417057302383732,36.9993504389246,11.46613723384038,1.8087189670437274,-27.169622046337025,-36.089001117667586,-29.39935340944977,8.406971227952303,-22.046340376453387,12.689555905967264,33.98176151148572,1.0607804871796893,-31.604793278797477,-39.46280083803163,30.387752302082788,6.029772699750486,-18.62320913792874,8.357245179444247,26.096434258764667,12.5955476185981,12.792553149984188,21.999017050515633,22.613331963565273,-37.04632649368973,-34.38876546480771,29.5671825558324,26.975252953831816
1.33,0.13313313313313313,-19.22331345789271,-35.842779453297304,13.184154549731497,8.98509303146525,27.756627681989663,-20.41560160765261,37.00109368170746,11.469549427828639,1.8052978035276401,-27.170388330984956,-36.0933390325103,-29.397614690631283,8.404914975056803,-22.046438275331692,12.690360794377847,33.97912325178704,1.0607450330468118,-31.60649336152066,-39.462000058624014,30.390507653734833,6.034644939591724,-18.621209924189213,8.353222957579973,26.096688881533353,12.596475251939154,12.794090668372728,22.000846739143423,22.611844252384984,-37.04592261820714,-34.3925449811495,29.567628249253524,26.973582616930056
1.34,0.13413413413413414,-19.22422113035202,-35.84420483597548,13.18571175513936,8.98656957796273,27.756952075688435,-20.414124929015482,37.00285302387054,11.472987353181274,1.8018542525307506,-27.171153726615106,-36.097699809246535,-29.395865973554972,8.402833491932732,-22.046537501714717,12.691179674510767,33.97645846878934,1.0607077437404262,-31.608180290857394,-39.461183740062296,30.393291017213333,6.039547141575589,-18.619184980688225,8.34915465207301,26.09693927850348,12.597418177995264,12.795649806522725,22.002676548100993,22.61034102716536,-37.04551649195462,-34.396364670426024,29.568076856925607,26.971882806032163
1.35,0.13513513513513514,-19.22513150379984,-35.84564088592458,13.187282177159481,8.988047887889017,27.757267751459892,-20.41262706629792,37.00462870965234,11.476451051718298,1.7983884260276912,-27.171918144590276,-36.10208325864217,-29.394107485620886,8.400726523337102,-22.04663816067124,12.692012807940806,33.97376714809282,1.0606685779043818,-31.609853690578653,-39.4603517540496,30.39610268205413,6.044479130905123,-18.6171341465605,8.345040016530406,26.09718542205414,12.598376564202463,12.797230824758566,22.004506257169453,22.608822266016965,-37.04510825938486,-34.400224960656274,29.568528474321937,26.970153266572794
1.36,0.13613613613613612,-19.226044536762434,-35.847087748381426,13.18886585836036,8.989527725737505,27.757574544122132,-20.411107815972798,37.00642098630032,11.47994056660764,1.7949004379936235,-27.172681494364006,-36.10648918736312,-29.392339458384868,8.398593809931166,-22.04674035832669,12.69286045883628,33.97104927621659,1.060627493500603,-31.611513184123275,-39.45950396947741,30.398942941115116,6.04944073017659,-18.615057261467612,8.34087880800908,26.097427284983052,12.599350576082811,12.79883398320009,22.00633564484635,22.607287946933198,-37.04469806608702,-34.40412628534279,29.56898319763618,26.96839374445579
1.37,0.13713713713713713,-19.226960187002287,-35.84854557062635,13.190462839692257,8.991008852763436,27.75787228704299,-20.409566971110237,37.00823010404974,11.48345594240427,1.7913904044381412,-27.173443683448166,-36.11091739794182,-29.39056212762115,8.39643508826043,-22.046844201856064,12.693722893924077,33.968304840638346,1.0605844477948239,-31.613158394613396,-39.45864025236822,30.401812090599428,6.054431759347818,-18.612954165691693,8.336670787275873,26.097664840517936,12.600340377131525,12.800459541600564,22.008164488355785,22.605738047785664,-37.04428605878532,-34.40806908350253,29.569441123778855,26.96660398615629
