t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
8.39,0.8398398398398398,15.437344924263622,-15.648215449087235,34.54968241017648,-28.753285135622587,-16.10544256410585,28.333069608173307,-28.403641966438474,2.8567135737677143,28.545591113355727,-9.649863035583229,-15.778960829075993,21.60305151231958,-21.983872518587404,-3.204059084272841,2.9945022027894694,-21.85163671755956,22.053822435767827,15.721482572643657,-9.302408126571788
8.4,0.8408408408408409,15.439082191607543,-15.651482775439026,34.54926380947582,-28.74906907231911,-16.102363633598067,28.331683089421336,-28.403482045569387,2.8589959005060024,28.541579760588384,-9.648652013570686,-15.779623797968554,21.607147002324197,-21.985013573558614,-3.2043233245318796,2.9948767078250595,-21.85393125289977,22.052778356188334,15.720516383426714,-9.30410678555587
8.41,0.8418418418418419,15.440809281204073,-15.654682139418592,34.548848244893286,-28.74489417997978,-16.099316356105206,28.330307476600087,-28.403318210723793,2.861256674517211,28.537604889628916,-9.64745273175028,-15.780274840258036,21.611176891261664,-21.98614475972798,-3.2045829373164967,2.9952538532877293,-21.856212796920325,22.05173969577455,15.719555797890084,-9.30579892650469
8.42,0.8428428428428428,15.442526126957436,-15.65781491762886,34.54843565031108,-28.740760294960392,-16.09630042453931,28.328942771681092,-28.40315061135154,2.863495902315845,28.533666469145285,-9.646265044038762,-15.780914112842078,21.615142409284427,-21.987266104816534,-3.2048379958992252,2.995633492525731,-21.858481238962945,22.05070646715008,15.718600847662746,-9.307484465641648
8.43,0.8438438438438438,15.444232665366718,-15.660882464827873,34.5480259611422,-28.73666724490049,-16.093315534808628,28.327588973910377,-28.402979394443335,2.86571359965502,28.529764457169517,-9.645088807316812,-15.781541773581445,21.61904476577485,-21.98837763746606,-3.205088573473299,2.9960154812778503,-21.86073647231386,22.049678682358344,15.717651563532415,-9.309163320703066
8.44,0.8448448448448448,15.44592883553175,-15.663886113796304,34.54761911434261,-28.732614849105214,-16.09036138578999,28.3262460798647,-28.402804704513446,2.867909791130594,28.525898801453845,-9.643923881375317,-15.782157981105414,21.622885149286947,-21.98947938724905,-3.2053347431076102,2.996399677685389,-21.86297839421713,22.048656352862988,15.71670797540542,-9.310835410952349
8.45,0.8458458458458459,15.447614579156177,-15.666827175245043,34.547215048420334,-28.728602918919623,-16.08743767930071,28.32491408350876,-28.4026266835856,2.8700845097947183,28.522069439821184,-9.642770128861102,-15.78276289462578,21.626664727524535,-21.99057138467622,-3.205576577703108,2.9967859423023055,-21.865206905883095,22.047639489548327,15.715770112269697,-9.312500657193338
8.46,0.8468468468468469,15.449289840547818,-15.669706937760125,34.54681370344181,-28.724631258095407,-16.08454412007005,28.32359297625326,-28.402445471181945,2.8722377967789297,28.518276300509726,-9.64162741522221,-15.783356673759384,21.63038464735302,-21.991653661201642,-3.205814149950643,2.997174138103543,-21.86742191249214,22.04662810271987,15.7148380021608,-9.31415898178281
8.47,0.8478478478478478,15.450954566616463,-15.672526667782343,34.54641502103548,-28.720699663149773,-16.0816804157103,28.322282747013684,-28.402261204314964,2.8743697009268803,28.514519302511594,-9.640495608652811,-15.78393947835908,21.634046034842356,-21.992726249225708,-3.2060475322902624,2.997564130491575,-21.869623323194,22.045622202104926,15.713911672130834,-9.315810308642144
8.48,0.8488488488488488,15.452608706869169,-15.675287609619067,34.5460189443928,-28.71680792371641,-16.07884627668757,28.320983382269695,-28.40207401748215,2.876480278436762,28.510798355905386,-9.639374580037837,-15.784511468353026,21.63764999533871,-21.99378918209592,-3.2062767968719657,2.997955787301206,-21.87181105110278,22.04462179685333,15.712991148220198,-9.31745456326812
8.49,0.8498498498498498,15.454252213403187,-15.677990985485884,34.54562541826688,-28.712955822888425,-16.076041416292323,28.319694866125023,-28.401884042663365,2.8785695925134633,28.507113362182515,-9.638264202897433,-15.785072803592145,21.641197613562465,-21.99484249410573,-3.2065020155179123,2.998348978802664,-21.873985013287957,22.043626895538242,15.712076455432026,-9.319091672742879
