t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
5.33,0.5335335335335335,32.78893485972538,-30.201159072283186,-5.450756925637053,7.529447295081329,37.72352307220473,-29.66188393488931,-11.078702024495854,-8.357976308872974,21.16698805643211,-8.075863340665729,-17.0751415673293,2.6960232628332372,9.048397199267432
5.34,0.5345345345345345,32.79089025157758,-30.201957724612324,-5.452708794561908,7.533562453348734,37.730310365416024,-29.662593887143117,-11.077699151060216,-8.356671752294329,21.165784865879175,-8.076997388783814,-17.075602881925523,2.6892325752238877,9.046281640306644
5.3500000000000005,0.5355355355355356,32.7928463218509,-30.202740944673522,-5.454626024049142,7.53766284864285,37.737136362146124,-29.663286198978486,-11.076695064534201,-8.35537693337927,21.16458219703555,-8.078152340071064,-17.076065729204085,2.6823799321519277,9.044166144433229
5.36,0.5365365365365365,32.79480305535972,-30.203508553400933,-5.45650826075363,7.541748686947971,37.74400094575073,-29.663961483032043,-11.07568978365395,-8.354091965338595,21.16338008084143,-8.079328436714727,-17.076530011478418,2.675465564585313,9.042050732257946
5.37,0.5375375375375375,32.79676043530439,-30.204260377519326,-5.4583551547848925,7.54582017349827,37.750903983849305,-29.664620350027338,-11.07468332526533,-8.352816962466115,21.162178548084007,-8.080525926873806,-17.07699563429797,2.668489737405578,9.039935424464037
5.38,0.5385385385385385,32.79871844326839,-30.204996249677986,-5.460166359891769,7.5498775127285525,37.7578453277513,-29.665263408526656,-11.073675704361886,-8.35155204016953,21.160977629402193,-8.081745064824608,-17.07746250644882,2.6614527503150716,9.037820241806566
5.39,0.5395395395395395,32.800677059216994,-30.205716008579824,-5.461941533650402,7.55392090822864,37.76482481188482,-29.665891264676382,-11.072666934123895,-8.350297315002189,21.15977735529135,-8.082986111110811,-17.077930539952725,2.6543549387334497,9.035705205111793
5.4,0.5405405405405406,32.8026362614975,-30.206419499105262,-5.463680337655494,7.557950562701409,37.771842253229735,-29.66650452194588,-11.071657025958453,-8.349052904695743,21.158577756107967,-8.084249332698171,-17.07839965006449,2.6471966746811595,9.033590335276543
5.41,0.5415415415415415,32.804596026841054,-30.20710657243052,-5.465382437714765,7.561966677924492,37.77889745075676,-29.66710378085972,-11.070645989540546,-8.347818928193723,21.157378862074307,-8.085535003133968,-17.078869755267704,2.639978367647552,9.031475653267602
5.42,0.5425425425425425,32.80655633036616,-30.20777708613985,-5.46704750404652,7.565969454715642,37.78599018487454,-29.66768963872331,-11.069633832855004,-8.346595505686091,21.156180703283013,-8.086843402711324,-17.079340777268747,2.6327004654411863,9.029361180121121
5.43,0.5435435435435435,32.808517145583856,-30.208430904331376,-5.468675211480239,7.569959092901795,37.79312021688667,-29.66826268934179,-11.068620562239314,-8.345382758644758,21.15498330970167,-8.088174818638482,-17.079812640989044,2.6253634550197904,9.02724693694204
5.44,0.5445445445445445,32.810478444404644,-30.20906789771605,-5.47026523966006,7.573935791291813,37.80028728846062,-29.66882352273226,-11.06760618242717,-8.344180809860122,21.153786711177283,-8.089529545213157,-17.08028527455551,2.617967863297275,9.025132944903518
5.45,0.5455455455455456,32.81244019714723,-30.20968794370935,-5.4718172732510375,7.577899747652957,37.807491121110765,-29.66937272482936,-11.066590696592732,-8.34298978347865,21.152590937440717,-8.090907884002041,-17.080758609289173,2.6105142579251197,9.023019225246385
5.46,0.5465465465465466,32.814402372549104,-30.210290926515306,-5.47333100214801,7.581851158691072,37.814731415697615,-29.669910877184225,-11.065574106395484,-8.341809805041539,21.151396018111058,-8.092310144025564,-17.081232579691882,2.6030032480453835,9.020905799278603
5.47,0.5475475475475475,32.816364937779,-30.21087673720241,-5.474806121686916,7.585790220034521,37.82200785194564,-29.670438556656975,-11.06455641202564,-8.340641001524464,21.15020198269989,-8.09373664194799,-17.08170712343112,2.5954354850125365,9.01879268837475
5.48,0.5485485485485485,32.81832785845128,-30.211445273771034,-5.4762423328583685,7.589717126221865,37.8293200879818,-29.670956335102787,-11.063537612249997,-8.339483501378483,21.149008860615506,-8.095187702272904,-17.08218218132281,2.5878116630812538,9.016679913975505
