t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
5.32,0.5325325325325325,-11.202619947904578,-38.86858606419082,33.27187319575658,-7.506998651859562,32.92542438572999,20.62435388107603,26.87847680627134,-29.17473962999671,-36.54726002422091,4.363884394681859,-29.895879672406572,14.580212753362524,-10.863861956199017,-0.26087361111447954,32.91206024053291
5.33,0.5335335335335335,-11.202052531557795,-38.86657547556502,33.2715859315225,-7.50505974927812,32.92535489135011,20.62392619471217,26.87757284161845,-29.177096329259168,-36.546187801359146,4.363608710705318,-29.897041081767675,14.579090380646615,-10.8655523720378,-0.2589326883918855,32.912825178180015
5.34,0.5345345345345345,-11.201495200170907,-38.86453740613747,33.27128992382777,-7.50310705310102,32.9252815856132,20.623492261456388,26.876660673711065,-29.179462208087894,-36.54511374325831,4.363344557998009,-29.898202441277906,14.577967896816398,-10.867250809170178,-0.25698405266081126,32.91358211396024
5.3500000000000005,0.5355355355355356,-11.200947926960117,-38.862471621396374,33.27098514464773,-7.501140438885763,32.925204446983415,20.623052056063784,26.87574032598459,-29.181837444563545,-36.544037905387846,4.363092021424157,-29.899363811707325,14.576845158095315,-10.868957335214185,-0.25502765246762976,32.914331082902365
5.36,0.5365365365365365,-11.200410685032061,-38.86037788423785,33.270671565501004,-7.499159781519469,32.92512345389883,20.622605552646924,26.874811821191294,-29.184222219095908,-36.54296034305665,4.362851187106474,-29.90052525369351,14.575722020337846,-10.870672017780226,-0.25306343598518705,32.91507211923707
5.37,0.5375375375375375,-11.199883447393484,-38.85825595494733,33.270349157436634,-7.497164955225747,32.925038584773446,20.622152724681143,26.873875181401708,-29.186616714431004,-36.54188111141492,4.362622142440652,-29.901686827738203,14.574598339016573,-10.872394924464993,-0.2510913510112922,32.9158052563954
5.38,0.5385385385385385,-11.199366186960795,-38.85610559118156,33.27001789102129,-7.495155833571932,32.92494981799915,20.62169354500968,26.872930428006132,-29.189021115657727,-36.540800265455985,4.362404976110045,-29.902848594203967,14.573473969209031,-10.874126122845013,-0.24911134496709433,32.91653052700733
5.39,0.5395395395395395,-11.19885887656949,-38.85392654795124,33.26967773632654,-7.493132289476739,32.92485713194763,20.621227985848684,26.871977581716234,-29.19143561021402,-36.53971786001825,4.3621997781005835,-29.90401061331083,14.572348765584326,-10.8758656804698,-0.24712336489534611,32.9172479629003
5.4,0.5405405405405406,-11.198361488983455,-38.85171857760437,33.26932866291616,-7.491094195218319,32.92476050497226,20.620756018792036,26.87101666256678,-29.19386038789255,-36.53863394978706,4.362006639715899,-29.90517294513297,14.571222582389549,-10.877613664854614,-0.24512735745855352,32.917957595097796
5.41,0.5415415415415415,-11.197873996904134,-38.84948142981037,33.26897063983346,-7.489041422442743,32.924659915409926,20.620277614816064,26.870047689917474,-29.196295640845847,-36.53754858929671,4.361825653592678,-29.906335649595366,14.570095273435962,-10.879370143472816,-0.24312326893701144,32.91865945381801
5.42,0.5425425425425425,-11.197396372979576,-38.84721485154494,33.268603635588775,-7.486973842172917,32.924555341582845,20.619792744284076,26.86907068245489,-29.198741563590847,-36.53646183293239,4.361656913716244,-29.90749878647047,14.568966692084992,-10.881135183747809,-0.24111104522672547,32.91935356847243
5.43,0.5435435435435435,-11.19692858981335,-38.84491858707583,33.26822761814689,-7.484891324817946,32.92444676180032,20.619301376950762,26.868085658194545,-29.201198353012842,-36.53537373493222,4.361500515436374,-29.90866241537488,14.567836691234,-10.88290885304457,-0.2390906318372199,32.92003996766455
5.44,0.5445445445445445,-11.196470619973336,-38.84259237794945,33.267842554914644,-7.482793740182958,32.92433415436047,20.61880348196645,26.867092634483075,-29.20366620836876,-36.53428434938931,4.3613565554833595,-29.909826595766003,14.566705123301864,-10.884691218660745,-0.2370619738892325,32.920718679188504
5.45,0.5455455455455456,-11.196022436000389,-38.84023596297846,33.26744841272855,-7.480680957479392,32.92421749755192,20.618299027881232,26.86609162800053,-29.206145331289743,-36.53319373025382,4.361225131984312,-29.910991386938708,14.565571840214355,-10.886482347817308,-0.23502501611229662,32.92138973002779
5.46,0.5465465465465466,-11.195584010416875,-38.837849078230384,33.267045157842496,-7.478552845335779,32.924096769655456,20.61778798264894,26.865082654762784,-29.208635925783007,-36.53210193133508,4.361106344479718,-29.912156848022008,14.564436693389329,-10.888282307648792,-0.23297970284221137,32.92205314635397
5.47,0.5475475475475475,-11.19515531573508,-38.83543145701724,33.266632755915545,-7.476409271809004,32.923971948945635,20.617270313630993,26.864065730124086,-29.211138198232874,-36.53100900630371,4.36100029394026,-29.913323037975676,14.563299533721713,-10.890091165193052,-0.23092597801840148,32.922708953525365
5.48,0.5485485485485485,-11.194736324465499,-38.832982829886376,33.266211171999814,-7.474250104396092,32.92384301369238,20.616745987600094,26.863040868779706,-29.213652357401006,-36.52991500869384,4.360907082783892,-29.914490015586914,14.562160211568331,-10.891908987380576,-0.22886378518116757,32.923357176085815
5.49,0.5495495495495496,-11.194327009124981,-38.83050292461241,33.26578037052843,-7.472075210046504,32.9237099421625,20.616214970743822,26.86200808476872,-29.216178614425733,-36.52881999190525,4.360826814893186,-29.91565783946696,14.561018576732529,-10.893735841023332,-0.2267930674688291,32.92399783776337
5.5,0.5505505505505506,-11.193927342244772,-38.82799146619055,33.26534031530362,-7.469884455174967,32.92357271262126,20.615677228668083,26.860967391476933,-29.21871718282044,-36.52772400920565,4.360759595632964,-29.916826568047703,14.559874478448638,-10.895571792803134,-0.22471376761476158,32.92463096146904
5.51,0.5515515515515516,-11.193537296378413,-38.8254481768311,33.26489096948486,-7.4676777056748564,32.92343130333379,20.615132726400432,26.859918801639903,-29.221268278470976,-36.526627113732914,4.3607055318681995,-29.917996259578295,14.558727765366266,-10.89741690925952,-0.2226258279443304,32.92525656929552
5.5200000000000005,0.5525525525525525,-11.193156844109517,-38.822872775955524,33.26443229557717,-7.465454826932136,32.923285692566594,20.614581428393283,26.858862327346124,-29.22383211963199,-36.5255293584974,4.3606647319822125,-29.919166972121708,14.557578285534424,-10.899271256777155,-0.22052919037172394,32.92587468251591
5.53,0.5535535535535535,-11.192785958059424,-38.82026498019385,33.26396425541952,-7.463215683839868,32.92313585858893,20.614023298526988,26.857797980040317,-29.226408926922186,-36.52443079638426,4.3606373058951595,-29.920338763551307,14.556425886385492,-10.901134901572705,-0.218423796396689,32.92648532158245
5.54,0.5545545545545546,-11.192424610894724,-38.81762450338373,33.26348681017333,-7.460960140813314,32.9229817796742,20.613458300112814,26.85672577052688,-29.228998923318393,-36.52333148015578,4.360623365082825,-29.921511691547376,14.55527041471904,-10.903007909681232,-0.21630958710117143,32.9270885061252
5.55,0.5555555555555556,-11.192072775334655,-38.81495105657111,33.26299992031113,-7.458688061805634,32.922823434101325,20.6128863958958,26.855645708973444,-29.23160233414839,-36.52223146245381,4.360623022595716,-29.92268581359363,14.554111716685492,-10.904890346942043,-0.21418650314586637,32.9276842549508
5.5600000000000005,0.5565565565565566,-11.191730424158376,-38.81224434801258,33.26250354560533,-7.456399310324205,32.922660800156045,20.6123075480575,26.85455780491461,-29.23421938708247,-36.52113079580214,4.360636393078476,-29.923861186973692,14.552949637769665,-10.906782278984032,-0.2120544847666814,32.9282725860411
5.57,0.5575575575575575,-11.191397530212114,-38.80950408317959,33.26199764511717,-7.454093749447561,32.92249385613223,20.61172171821864,26.85346206725578,-29.236850312123583,-36.52002953260896,4.360663592789616,-29.925037868767536,14.551784022774157,-10.908683771210477,-0.20991347177111766,32.92885351655191
5.58,0.5585585585585585,-11.191074066416187,-38.80672996476457,33.261482177185805,-7.451771241842983,32.92232258033313,20.611128867441643,26.852358504277166,-29.23949534159609,-36.51892772516936,4.3607047396215775,-29.926215915847916,14.550614715802626,-10.910594888783294,-0.20776340353457384,32.92942706281159
5.59,0.5595595595595596,-11.190760005771887,-38.803921692688995,33.26095709941754,-7.449431649784737,32.92214695107265,20.610528956233093,26.851247123637933,-29.242154710132965,-36.51782542566783,4.360759953121125,-29.927395384876732,14.549441560242933,-10.91251569660674,-0.20560421899657844,32.92999324031975
