t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
2.47,0.24724724724724725,-30.925079920227724,-10.932888430930968,25.53066167867769,-19.071317314707613,-31.788944456050846,36.592208076026395,-18.425069886668297,-21.4415156429953,-1.8241952147423974,-12.399683262963688,-10.98706881180501,18.066355421167852,-12.0035085037787,6.7606077946105305,25.012142401855282,27.05429880282948,6.967637133525501,25.499132597873892
2.48,0.24824824824824826,-30.92796205365414,-10.933243023329599,25.532208862029435,-19.070765719883727,-31.781989026914264,36.596236162164196,-18.42715264303447,-21.440039927430416,-1.8212854406624097,-12.400321968482361,-10.992160303118414,18.069018774167677,-12.00400415356674,6.757730504963079,25.01180497685164,27.046664628640436,6.969000075313145,25.500032737643014
2.49,0.24924924924924924,-30.930824507312607,-10.933609898269971,25.533735223308497,-19.07021306915504,-31.775034654968948,36.60027680438614,-18.429218410353887,-21.4385531316604,-1.8183403716044244,-12.400960351874698,-10.99728284535924,18.071687273558897,-12.00451159982671,6.754852010248009,25.011459928126897,27.03900864322872,6.970358370862925,25.50094304836192
2.5,0.2502502502502503,-30.933667003607944,-10.933989193825353,25.535240496751346,-19.069659387609338,-31.768082208580722,36.60432987645723,-18.431266997918527,-21.43705511874325,-1.8153595826953226,-12.40159839825215,-11.002436167046993,18.074360843739218,-12.005030986103286,6.751972498008856,25.011107209075043,27.03133144530103,6.9717117814719565,25.50186335527429
2.5100000000000002,0.25125125125125125,-30.936489270944772,-10.934381047259594,25.536724417734472,-19.06910470027672,-31.761132557797872,36.60839525006048,-18.433298221803827,-21.435545749228833,-1.8123426464721715,-12.402236093044015,-11.007619987175795,18.07703940933863,-12.005562454829313,6.749092156417902,25.010746772907325,27.02363364041736,6.973060066680902,25.502793476971927
2.52,0.25225225225225223,-30.939291043876093,-10.93478559497887,25.538186722844753,-19.068549032128786,-31.754186573980476,36.6124727948148,-18.435311904996155,-21.43402488113698,-1.8092891329921734,-12.402873422013252,-11.012834015294453,18.079722895235033,-12.006106147231527,6.746211174240046,25.010378572650566,27.015915840770262,6.974402984338465,25.503733225430935
2.5300000000000002,0.25325325325325326,-30.942072063248034,-10.935202972483442,25.539627149951272,-19.067992408077846,-31.747245129427743,36.616562378293914,-18.437307877515252,-21.432492369935794,-1.8061986099477583,-12.4035103712723,-11.018077951594703,18.082411226569224,-12.006662203235209,6.743329740796101,25.0100025611455,27.008178664956723,6.975740290667733,25.504682406053707
2.54,0.25425425425425424,-30.9448320763406,-10.935633314319501,25.541045438278637,-19.06743485297622,-31.740309097003713,36.62066386604656,-18.439285976531444,-21.430948068520134,-1.8030706427869156,-12.404146927298923,-11.023351487007577,18.085104328759325,-12.007230761367845,6.740448045925518,25.009618691045116,27.00042273774271,6.977071740334322,25.505640817716777
2.5500000000000003,0.2552552552552553,-30.947570837004275,-10.936076754031118,25.54244132848177,-19.066876391615583,-31.73337934976169,36.62477712161782,-18.441246046477463,-21.429391827190358,-1.799904794838867,-12.404783076952036,-11.028654303307766,18.08780212751454,-12.007811958661906,6.737566279948576,25.00922691481304,26.9926486898206,6.9783970865163045,25.506608252824513
2.56,0.25625625625625625,-30.950288105792307,-10.936533424112358,25.543814562722176,-19.066317048726358,-31.726456760567753,36.62890200657159,-18.443187939154726,-21.427823493631276,-1.7967006274451744,-12.405418807487505,-11.03398607322587,18.09050454884828,-12.008405930556808,6.734684633628026,25.008827184721955,26.984857157559706,6.97971608097585,25.50758449736865
