t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
22.56,0.5645645645645646,-26.929179697867312,-26.922529562283483,4.508869674674934,35.9629184557123,23.36354478789849,17.111182532069634,-26.952999160124495,4.520603714478899,-14.363841026636786,29.705339860278055,-8.061191775587712,4.513123743507144,-14.363377809671057,-20.652490278778405,-1.751813906896104,-8.062024175541621,10.79443942170351,42.26207347329691,17.089858575692144,17.089553503086982,-20.642393787094065,-14.359721399941126,4.519420065511045,-26.965280845989383
22.6,0.5655655655655656,-26.92909730136635,-26.92259962701529,4.508871426403093,35.9627700585303,23.363586349173666,17.11128334218904,-26.952894724967155,4.5205465725165785,-14.363847191151908,29.70524644268732,-8.061240222869,4.513121764214032,-14.363262582257473,-20.65244831566223,-1.7518812034893985,-8.062048633464212,10.794407967774355,42.26193740132025,17.089840219297297,17.08955355538672,-20.642415095609977,-14.3597240467447,4.519515740318857,-26.965137513715323
22.64,0.5665665665665666,-26.929015969452077,-26.922666954026667,4.508873068178962,35.96262408774258,23.3636266698266,17.111380445903002,-26.952791064432304,4.520490577892271,-14.363852124787963,29.705151650196868,-8.061287101554942,4.513119362200917,-14.363149565289133,-20.65240620246628,-1.7519479657573667,-8.062072188530164,10.794377231625043,42.26180266056951,17.08982173014345,17.089553317565677,-20.642434988592232,-14.3597257827696,4.519608927056892,-26.964995439744545
22.68,0.5675675675675675,-26.928935683962028,-26.9227316176885,4.508874605612174,35.962480487204296,23.36366577924644,17.111473921516783,-26.95268816498415,4.52043570126164,-14.363855861568034,29.7050555569905,-8.061332452798066,4.513116557538039,-14.36303870419665,-20.652363946486144,-1.7520141950356884,-8.062094864192822,10.794347197823733,42.26166922612797,17.08980311412051,17.08955278959206,-20.642453503868847,-14.35972663242512,4.519699671867353,-26.964854600196947
22.72,0.5685685685685685,-26.928856427024385,-26.92279369049424,4.508876044109586,35.96233920210299,23.363703706170778,17.11156384593776,-26.95258601341706,4.52038191402952,-14.363858434683623,29.704958234656466,-8.06137631672939,4.513113369584522,-14.362929945724147,-20.652321554846175,-1.752079892864744,-8.062116683335027,10.794317851249954,42.2615370736162,17.089784376951464,17.08955197165673,-20.642470678355995,-14.35972661954024,4.519788020227899,-26.964714971780346
22.76,0.5695695695695696,-26.92877818105405,-26.92285324310394,4.508877388881098,35.96220017892829,23.363740478699334,17.111650294696105,-26.95248459684658,4.520329188331825,-14.363859876514011,29.70485975226381,-8.061418732482577,4.5131098170096635,-14.362823237900841,-20.652279034502723,-1.7521450609801192,-8.06213766828239,10.794289177088643,42.261406179180646,17.089765524196565,17.089550864163122,-20.642486548078555,-14.359725767377183,4.519874016956927,-26.96457653177458
22.8,0.5705705705705706,-26.92870092874871,-26.922910344387322,4.5088786449453355,35.9620633654422,23.363776124307318,17.111733341965245,-26.95238390270072,4.520277497017859,-14.363860218645199,29.704760176436825,-8.06145973821753,4.513105917813684,-14.36271853001313,-20.652236392247318,-1.7522097013033886,-8.06215784081626,10.794261160824282,42.261276519482415,17.08974656125748,17.089549467717468,-20.64250114819024,-14.359724098644675,4.519957706218924,-26.964439258016057
22.84,0.5715715715715716,-26.928624653085013,-26.922965061466,4.508879817135206,35.96192871065001,23.363810669858548,17.111813060582108,-26.95228391871149,4.520226813633002,-14.363859491888402,29.704659571427587,-8.061499371143475,4.513101689347935,-14.36261577257717,-20.65219363470981,-1.752273815933175,-8.062177222186412,10.79423378823515,42.26114807168631,17.089727493381307,17.089547783119325,-20.64251451299332,-14.35972163551086,4.520039131529889,-26.964303128882758
22.88,0.5725725725725725,-26.928549337314728,-26.92301745975482,4.508880910103316,35.961796164771876,23.363844141618326,17.111889522067155,-26.952184632906675,4.520177112401788,-14.363857726298146,29.704557999186683,-8.061537667541513,4.513097148334584,-14.36251491731194,-20.652150768361462,-1.7523374071364746,-8.062195833123438,10.794207045387676,42.261020813450045,17.089708325664507,17.089545811352384,-20.642526675957903,-14.359718399615925,4.520118335762827,-26.964168123279652
22.92,0.5735735735735735,-26.928474964960987,-26.92306760300229,4.508881928327268,35.96166567921497,23.36387656526603,17.1119627966442,-26.95208603360185,4.520128368211348,-14.36385495118995,29.704455519432106,-8.061574662786686,4.513092310885787,-14.362415917112774,-20.652107799517996,-1.752400477340245,-8.062213693850877,10.794180918630913,42.2608947229137,17.08968906305676,17.089543553575588,-20.64253766974088,-14.359714412084411,4.520195361153307,-26.96403422062453
22.96,0.5745745745745746,-26.928401519814557,-26.923115553330216,4.508882876114832,35.96153720654618,23.363907965907483,17.112032953260005,-26.95198810939262,4.520080556595229,-14.363851195157594,29.70435218971641,-8.061610391369527,4.513087192522358,-14.362318726025395,-20.652064734342595,-1.7524630291232506,-8.06223082409707,10.794155394591101,42.260769778689316,17.089669710364706,17.089541011114513,-20.64254752620442,-14.35970969353723,4.520270249305071,-26.96390140083424
23.0,0.5755755755755756,-26.928328985930154,-26.92316137127245,4.50888375760899,35.961410700465485,23.36393836808707,17.112100059603677,-26.951890849147073,4.520033653717555,-14.363846486090024,29.70424806549212,-8.061644886917144,4.513081808191947,-14.362223299220394,-20.652021578848856,-1.7525250652081585,-8.062247243106745,10.794130460166345,42.26064595985076,17.089650272255636,17.08953818545303,-20.64255627643412,-14.359704264103396,4.52034304119571,-26.963769644311324
23.04,0.5765765765765766,-26.9282573476228,-26.92320511581285,4.508884576792862,35.9612861157798,23.3639677957996,17.112164182125834,-26.95179424199847,4.519987636357565,-14.363840851187854,29.70414320017547,-8.061678182213814,4.513076172286742,-14.362129592968197,-20.651978338903714,-1.7525865884538816,-8.062262969652354,10.794106102521381,42.26052324592375,17.08963075326105,17.08953507822523,-20.642563950756745,-14.359698143431478,4.520413777182385,-26.963638931931015
23.080000000000002,0.5775775775775776,-26.928186589464218,-26.9232468444224,4.508885337494514,35.96116340837744,23.363996272501957,17.11222538605757,-26.951698277338117,4.519942481894477,-14.363834316979506,29.70403764520845,-8.061710309221134,4.5130702986607,-14.362037564614472,-20.6519350202303,-1.752647601848161,-8.062278022045144,10.794082309082446,42.260401616876045,17.089611157780183,17.089531691207604,-20.64257057875762,-14.359691350700778,4.520482497007591,-26.96350924502863
23.12,0.5785785785785785,-26.92811669627928,-26.923286613095566,4.508886043391653,35.96104253520312,23.364023821124505,17.1122837354292,-26.951602944808457,4.519898168292701,-14.363826909336982,29.703931450119285,-8.061741299097692,4.513064200646313,-14.361947172556018,-20.651891628410773,-1.7527081085003848,-8.062292418145995,10.794059067532245,42.26028105310791,17.0895914900834,17.089528026311502,-20.64257618929765,-14.359683904632242,4.520549239804973,-26.963380565387276
23.16,0.5795795795795796,-26.928047653142475,-26.92332447638581,4.508886698016199,35.96092345423349,23.364050464082265,17.1123392930888,-26.951508234296355,4.5198546740873855,-14.363818653491276,29.703824662581273,-8.061771182218314,4.5130578910709405,-14.361858376217086,-20.651848168889096,-1.7527681116346367,-8.062306175376001,10.794036365805015,42.2601615354427,17.089571754315546,17.089524085575803,-20.64258081052997,-14.35967582349911,4.520614044105179,-26.963252875225958
23.2,0.5805805805805806,-26.927979445374437,-26.923360487440412,4.508887304758753,35.96080612445317,23.36407622328587,17.112392120720525,-26.95141413592657,4.5198119783702895,-14.363809574047446,29.703717328470123,-8.061799988192869,4.51305138227269,-14.36177113602615,-20.651804646973787,-1.7528276145829698,-8.06231931072682,10.794014192081665,42.26004304511765,17.089551954499214,17.089519871159847,-20.642584469916276,-14.359667125137328,4.520676947841746,-26.96312615718798
23.240000000000002,0.5815815815815816,-26.927912058538492,-26.92339469803446,4.5088878668729535,35.96069050583138,23.36410112015232,17.11244227886272,-26.951320640055407,4.519770060775974,-14.363799694999338,29.703609491919746,-8.061827745884646,4.513044686115874,-14.361685413393126,-20.651761067840603,-1.7528866207788987,-8.0623318407708,10.793992534785032,42.259925563774864,17.08953209453791,17.089515385336608,-20.64258719424275,-14.359657826955694,4.520737988357023,-26.963000394329686
23.28,0.5825825825825826,-26.927845478437263,-26.923427158604152,4.508888387479723,35.960576559298964,23.36412517561548,17.112489826925835,-26.951227737264567,4.51972890146831,-14.36378903974398,29.703501195376575,-8.061854483428316,4.513037814006053,-14.361601170687019,-20.651717436535204,-1.7529451337511082,-8.062343781670858,10.793971382575204,42.25980907345248,17.089512178219167,17.089510630486075,-20.642589009635714,-14.359647945945774,4.520797202408122,-26.96287557010953
23.32,0.5835835835835835,-26.927779691109297,-26.923457918279336,4.508888869571409,35.96046424672601,23.364148410136423,17.112534823210105,-26.951135418355147,4.519688481127295,-14.363777631095644,29.703392479652425,-8.06188022824749,4.513030776904664,-14.361518371214002,-20.651673757975765,-1.7530031571173708,-8.062355149190163,10.793950724344944,42.259693556576,17.089492209217592,17.08950560908887,-20.6425899415769,-14.359637498691589,4.520854626172896,-26.96275166837744
23.36,0.5845845845845846,-26.92771468282574,-26.92348702491534,4.508889316015828,35.96035353089993,23.36417084371351,17.11257732492304,-26.951043674341825,4.5196487809361665,-14.363765491299601,29.703283383975958,-8.061905007071873,4.513023585343252,-14.361436979195922,-20.65163003695555,-1.7530606945786693,-8.062365958701571,10.793930549215188,42.25957899594983,17.089472191097812,17.089500323720095,-20.64259001491842,-14.359626501379058,4.520910295255938,-26.962628673364485
23.400000000000002,0.5855855855855856,-26.92765044008705,-26.923514525124098,4.508889729560192,35.96024437550397,23.36419249589231,17.11261738819671,-26.950952496447208,4.519609782568825,-14.363752642045556,29.70317394604273,-8.061928845954023,4.51301624943731,-14.36135695974922,-20.651586278145434,-1.7531177499135182,-8.062376225196877,10.79391084653064,42.25946537474892,17.089452127317365,17.08949477704336,-20.64258925389739,-14.359614969805243,4.520964244694605,-26.96250656967283
23.44,0.5865865865865866,-26.927586949619723,-26.92354046430459,4.508890112834956,35.96013674509626,23.3642133857753,17.112655068104804,-26.950861876096322,4.51957146817753,-14.363739104480773,29.703064202063917,-8.06195177028574,4.513008778899745,-14.361278278864269,-20.65154248609641,-1.7531743269724818,-8.062385963295833,10.793891605855436,42.25935267651068,17.08943202122953,17.08948897180504,-20.642587682150282,-14.359602919387351,4.5210165089650545,-26.962385342265986
23.48,0.5875875875875876,-26.927524198373103,-26.9235648866726,4.508890468357551,35.960030605089294,23.36423353203137,17.112690418679495,-26.95077180491129,4.519533820380894,-14.363724899222916,29.702954186813677,-8.061973804814068,4.513001183053958,-14.36120090338512,-20.65149866524203,-1.7532304296728816,-8.062395187254982,10.793872816968898,42.25924088512699,17.08941187608608,17.089482910828735,-20.642585322726905,-14.359590365171545,4.521067121988295,-26.96226497645931
23.52,0.5885885885885885,-26.927462173516172,-26.923587835289798,4.50889079853603,35.959925921729855,23.364252952905147,17.11272349292811,-26.950682274706125,4.519496822252151,-14.363710046372585,29.702843933675265,-8.061994973656942,4.512993470846574,-14.361124800989645,-20.65145481990082,-1.7532860619936887,-8.062403910976279,10.793854469861364,42.25912998483639,17.08939169503996,17.08947659700991,-20.642582198104137,-14.359577321841542,4.521116117136252,-26.962145457910786
23.56,0.5895895895895896,-26.927400862434425,-26.92360935209217,4.508891105672616,35.95982266207938,23.36427166622611,17.112754342849584,-26.950593277481687,4.519460457307696,-14.363694565525579,29.702733474685843,-8.062015300318466,4.512985650859811,-14.361049940170084,-20.65141095427865,-1.7533412279705993,-8.062412148015525,10.793836554730094,42.25901996021644,17.089371481147925,17.089470033310732,-20.642578330199335,-14.359563803727001,4.521163527237838,-26.96202677261207
23.6,0.5905905905905906,-26.92734025272674,-26.92362947791783,4.508891391967158,35.959720793994784,23.36428968941755,17.112783019450703,-26.950504805420774,4.5194247094958975,-14.363678475784864,29.702622840580084,-8.062034807703846,4.512977731323502,-14.360976290213978,-20.651367072471064,-1.7533959316912842,-8.062419911590604,10.793819061975253,42.25891079617625,17.089351237373084,17.08946322275511,-20.642573740383448,-14.359549824811733,4.521209384585032,-26.961908906879763
23.64,0.5915915915915916,-26.927280332202315,-26.92364825253417,4.508891659520502,35.95962028610967,23.364307039505317,17.112809572762167,-26.95041685088336,4.519389563186167,-14.363661795772286,29.702512060832547,-8.062053518133977,4.512969720126782,-14.36090382118549,-20.65132317846559,-1.753450177290812,-8.062427214589535,10.793801982195971,42.258802477949146,17.089330966587408,17.089456168423887,-20.642568449493854,-14.359535398741707,4.521253720938962,-26.96179184734695
23.68,0.5925925925925926,-26.927221088877616,-26.923665714664413,4.508891910337769,35.959521107815995,23.364323733126415,17.112834051854446,-26.95032940640196,4.5193550031582905,-14.363644543640005,29.702401163698887,-8.062071453359698,4.512961624829441,-14.360832503907101,-20.651279276143974,-1.7535039689472396,-8.062434069578345,10.793785306186477,42.2586949910855,17.089310671574165,17.089448873450213,-20.64256247784692,-14.359520538832871,4.521296567535983,-26.96167558095496
23.72,0.5935935935935935,-26.927162510973368,-26.92368190201355,4.508892146331543,35.95942322924613,23.36433978653741,17.11285650485342,-26.95024246467711,4.519321014592005,-14.363626737081676,29.702290176255914,-8.062088634575712,4.512953452672959,-14.360762309941693,-20.65123536928442,-1.7535573108773654,-8.062440488808756,10.793769024932297,42.25858832144571,17.08929035503029,17.089441341015117,-20.642555845250268,-14.359505258078794,4.521337955093765,-26.96156009494536
23.76,0.5945945945945946,-26.92710458691159,-26.923696851293684,4.5088923693249825,35.9593266212553,23.364355215622655,17.11287697895584,-26.950156018573008,4.519287583056829,-14.363608393343366,29.702179124440516,-8.06210508243419,4.51294521059122,-14.360693211574983,-20.651191461563762,-1.7536102073326423,-8.062446484225703,10.79375312960653,42.25848245519333,17.089270019568715,17.08943357434321,-20.642548571014785,-14.359489569158132,4.521377913817364,-26.961445376852165
