t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
34.32,0.8588588588588588,-30.621915667247688,0.8144641519448532,-11.763302179721132,19.669761961793103,32.249752731682705,-11.777430437572018,-11.761522424173604,19.67084962350911,7.094160656780062,-5.471709689589811,-24.334335678295933,-11.762461198717524,32.26109372045183,25.951417347338598,32.236360422619185,-5.471840360622133,13.37915652223811,25.955576856211092,-11.755165432515284,13.379914388401563,-18.04312706499212,-24.32951864455502,25.95201403540912,13.38454911735624,7.100837464080364,-18.0366637853092,-30.616512390419114,-18.046784632961437,32.234116408879345,25.96775087713301,-30.60808838269018,-30.622564891795225,-30.61111506728415,-30.61758118795819,32.241172439964984
34.36,0.8598598598598598,-30.621894219122666,0.8144612830723285,-11.763291420063611,19.669752421129775,32.249726772394304,-11.777402089087118,-11.761513810748498,19.670838695076572,7.094162074711721,-5.471708932780913,-24.33431944535614,-11.762451495355434,32.261053972693354,25.95140966715522,32.23635068953371,-5.471839517778306,13.379155793510256,25.955564173285907,-11.755164467626576,13.379912865064217,-18.043120374758388,-24.329508053849036,25.95200562589569,13.384541974895235,7.100830903369873,-18.03666481837881,-30.616497397411102,-18.046773583419885,32.23410931784197,25.96772360232517,-30.60808353722045,-30.62254263433654,-30.611106565096062,-30.61756472926289,32.241156869070636
34.4,0.8608608608608609,-30.621872822207457,0.8144584213831735,-11.76328068624115,19.669742903095674,32.24970087602267,-11.777373811805504,-11.76150521791876,19.6708277929697,7.09416348901783,-5.471708177781607,-24.334303251144863,-11.762441815084824,32.261014322119976,25.951402004973577,32.236340979255175,-5.471838676668503,13.379155066294674,25.955551520598092,-11.75516350461037,13.37991134472876,-18.04311370031975,-24.32949748867609,25.951997236227403,13.384534849331331,7.100824358325113,-18.03666584856345,-30.61648244000912,-18.046762560178852,32.23410224337404,25.967696393218237,-30.608078702488733,-30.622520430175562,-30.611098082654063,-30.617548310470255,32.24114133543701
34.44,0.8618618618618619,-30.62185147631725,0.8144555668497132,-11.763269978159855,19.6697334076098,32.24967504233574,-11.777345605451128,-11.761496645609803,19.67081691709213,7.094164899712618,-5.471707424585293,-24.334287095522463,-11.7624321578228,32.26097476836895,25.951394360730355,32.23633129170332,-5.471837837287991,13.379154340586949,25.95553889803863,-11.75516254346214,13.379909827387616,-18.04310704162014,-24.329486948942506,25.951988866333643,13.38452774060439,7.10081782888958,-18.036666875875625,-30.616467518085564,-18.046751563143875,32.234095185417374,25.967669249572122,-30.60807387846051,-30.62249827911912,-30.611089619889636,-30.617531931432776,32.24112583892906
34.480000000000004,0.8628628628628628,-30.62183018126813,0.8144527194444177,-11.763259295726296,19.669723934591552,32.24964927110259,-11.777317469749413,-11.761488093747406,19.67080606734798,7.0941663068102425,-5.471706673185404,-24.334270978349963,-11.762422523486869,32.260935311079386,25.951386734362533,32.236321626798265,-5.4718369996320435,13.379153616382675,25.95552630549903,-11.755161584177362,13.37990831303323,-18.04310039860375,-24.329476434555083,25.951980516144143,13.384520648654563,7.100811315007045,-18.036667900327764,-30.616452631513454,-18.046740592220946,32.23408814391407,25.96764217114792,-30.608069065101386,-30.62247618097499,-30.611081176734565,-30.61751559200369,32.24111037941239
34.52,0.8638638638638638,-30.621808936877077,0.8144498791399023,-11.763248638847495,19.669714483960707,32.24962356209346,-11.777289404427245,-11.76147956225771,19.670795243641845,7.094167710324782,-5.471705923575406,-24.334254899489075,-11.76241291199493,32.260895949892195,25.951379125807392,32.236311984460485,-5.471836163695952,13.379152893677466,25.955513742871336,-11.755160626751525,13.379906801658057,-18.043093771215048,-24.32946594542108,25.951972185588968,13.38451357342228,7.10080481662155,-18.036668921932215,-30.61643778016641,-18.046729647316504,32.23408111880651,25.967615157707897,-30.608064262377113,-30.622454135551873,-30.61107275312096,-30.617499292036968,32.24109495675327
34.56,0.8648648648648649,-30.62178774296195,0.8144470459089269,-11.763238007430928,19.66970505563743,32.24959791507973,-11.777261409212961,-11.761471051067213,19.670784445878787,7.094169110270242,-5.4717051757488,-24.334238858802166,-11.762403323265278,32.260856684450125,25.951371535002504,32.23630236461086,-5.471835329475016,13.37915217246695,25.9555012100481,-11.755159671180124,13.379905293254572,-18.043087159398755,-24.32945548144822,25.951963874598512,13.384506514848262,7.100798333677407,-18.036669940701263,-30.616422963918662,-18.04671872833744,32.23407411003731,25.9675882090155,-30.608059470253576,-30.622432142659413,-30.611064348981234,-30.617483031387312,32.24107957081861
34.6,0.8658658658658659,-30.62176659934149,0.8144442197243941,-11.76322740138452,19.669695649542266,32.249572329833924,-11.77723348383634,-11.761462560102771,19.670773673964337,7.094170506660553,-5.471704429699117,-24.334222856152277,-11.762393757216598,32.260817514397715,25.951363961885733,32.2362927671706,-5.471834496964548,13.379151452746774,25.955488706922406,-11.75515871745866,13.379903787815262,-18.043080563099853,-24.32944504254468,25.9519555831035,13.3844994728735,7.100791866119197,-18.036670956647114,-30.616408182645042,-18.04670783519109,32.2340671175494,25.967561324835327,-30.608054688696804,-30.62241020210817,-30.611055964248113,-30.617466809910155,32.24106422147598
34.64,0.8668668668668669,-30.621745505835317,0.8144414005593485,-11.763216820616648,19.669686265596145,32.24954680612968,-11.777205628028593,-11.761454089291599,19.670762927804496,7.094171899509571,-5.471703685419919,-24.3342068914031,-11.762384213767966,32.260778439381305,25.951356406395227,32.23628319206132,-5.471833666159876,13.379150734512594,25.955476233387845,-11.755157765582641,13.379902285332633,-18.04307398226359,-24.329434628619094,25.951947311034992,13.384492447439273,7.100785413891768,-18.03667196978191,-30.616393436220978,-18.046696967785234,32.234060141285944,25.96753450493313,-30.608049917672957,-30.62238831370963,-30.61104759885463,-30.61745062746165,32.241048908593584
34.68,0.8678678678678678,-30.621724462263916,0.8144385883869755,-11.763206265036128,19.66967690372037,32.249521343741776,-11.777177841522352,-11.761445638561261,19.67075220730572,7.094173288831081,-5.4717029429048,-24.334190964418987,-11.762374692838844,32.260739459049006,25.95134886846943,32.23627363920499,-5.471832837056335,13.379150017760088,25.955463789338523,-11.755156815547586,13.379900785799203,-18.043067416835466,-24.32942423958054,25.95193905832437,13.384485438487133,7.100778976940233,-18.036672980117714,-30.616378724522495,-18.046686126028096,32.23405318119039,25.967507749075814,-30.60804515714834,-30.622366477276188,-30.611039252734127,-30.61743448389867,32.241033632040256
34.72,0.8688688688688688,-30.621703468448633,0.8144357831806008,-11.763195734552223,19.66966756383662,32.24949594244611,-11.777150124051664,-11.761437207839672,19.67074151237493,7.094174674638794,-5.471702202147388,-24.334175075064945,-11.762365194349076,32.26070057305071,25.95134134804707,32.236264108523926,-5.471832009649277,13.379149302484944,25.955451374669064,-11.755155867349018,13.379899289207508,-18.043060866761238,-24.329413875338556,25.951930824903343,13.384478445958907,7.100772555209966,-18.03667398766652,-30.61636404742621,-18.046675309828338,32.234046237206435,25.967481057031424,-30.608040407089387,-30.622344692621144,-30.611030925820245,-30.617418379078792,32.24101839168549
34.76,0.8698698698698699,-30.621682524211675,0.8144329849136897,-11.763185229074631,19.669658245866945,32.24947060201967,-11.777122475351975,-11.761428797055098,19.670730842919504,7.094176056946347,-5.471701463141342,-24.334159223206626,-11.762355718218892,32.260661781038074,25.951333845067158,32.236254599940835,-5.4718311839340625,13.379148588682867,25.955438989274587,-11.755154920982466,13.379897795550098,-18.043054331986916,-24.329403535803117,25.951922610703942,13.384471469796697,7.100766148646607,-18.036674992440258,-30.616349404809327,-18.046664519095053,32.234039309278046,25.96745442856913,-30.608035667462673,-30.62232295955871,-30.611022618046935,-30.617402312860314,32.2410031873994
34.800000000000004,0.8708708708708709,-30.6216616293761,0.8144301935598448,-11.76317474851349,19.66964894973377,32.24944532224056,-11.777094895160129,-11.761420406136152,19.670720198847267,7.094177435767309,-5.471700725880349,-24.33414340871033,-11.7623462643689,32.26062308266448,25.95132635946899,32.236245113378764,-5.471830359906067,13.379147876349577,25.95542663305072,-11.755153976443475,13.379896304819543,-18.04304781245877,-24.329393220884647,25.951914415658525,13.38446450994288,7.100759757196056,-18.03667599445078,-30.616334796549637,-18.046653753737775,32.23403239734945,25.96742786345924,-30.608030938234904,-30.622301277903986,-30.611014329348443,-30.61738628510223,32.24098801905272
