t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
10.28,0.25725725725725723,13.026639025006949,-24.83451141787822,7.294500823673914,-6.324073257760852,16.31922016275569,25.671307099310063,-18.512821527129034,-5.821013639852467,12.800338069687172,-37.30936127026594,-2.790912385724991,22.373327438735064,-7.187123526723843,24.98650117630518,25.418133572759906,-43.65699181565498
10.32,0.25825825825825827,13.02343933123892,-24.835761701902403,7.289152434070131,-6.3213093237325175,16.31789772864352,25.669669378560037,-18.514546920458987,-5.822629025955729,12.796205689593622,-37.31083395896127,-2.7893741036121438,22.375482095290042,-7.171419954156325,24.986664866783244,25.41838974601915,-43.65786775417569
10.36,0.25925925925925924,13.020246422889626,-24.837010399377082,7.283813322950137,-6.318557105610702,16.316593544066578,25.668026624661035,-18.516276535447965,-5.8243437715324005,12.792136233163298,-37.31231869410026,-2.787818518958962,22.37773487149179,-7.155857782637453,24.98692441331508,25.418625652505177,-43.65875975013429
10.4,0.2602602602602603,13.017060748137878,-24.838257761578323,7.278483652421161,-6.315816898590063,16.3153078425888,25.66637872791776,-18.51800989470896,-5.826159326013636,12.788129831620315,-37.31381522457539,-2.7862435131449663,22.380088030179394,-7.140441162067309,24.987279489450554,25.418841537059663,-43.659667551453275
10.44,0.26126126126126126,13.01388275272941,-24.839504029778112,7.273163582331587,-6.313088993797004,16.31404087666204,25.6647255838559,-18.51974653405159,-5.828077193568933,12.78418641790032,-37.315323312871094,-2.784646923372138,22.382543908195903,-7.125173969867518,24.987729624136456,25.41903764601109,-43.66059090727272
10.48,0.26226226226226224,13.0107128776985,-24.84074943540638,7.267853270186156,-6.310373678213545,16.3127929182268,25.66306709307875,-18.521486004070688,-5.830098937039556,12.78030572774698,-37.31684273616448,-2.7830265413142925,22.38510492084138,-7.110059812931527,24.988274205905896,25.419214226825083,-43.661529568125474
10.52,0.26326326326326327,13.007551557103033,-24.841994200234975,7.262552871049471,-6.307671234605826,16.31156425932607,25.66140316110842,-18.523227871686995,-5.832226181944806,12.776487301389071,-37.31837328741668,-2.7813801116726333,22.387773566431363,-7.095102030592088,24.988912487395634,25.419371527732284,-43.66248328613775
10.56,0.26426426426426425,13.004399215779953,-24.843238536583303,7.257262537437653,-6.304981941457565,16.310355212733256,25.6597336982116,-18.52497172163586,-5.8344606205543865,12.772730485755934,-37.319914776453466,-2.77970533063598,22.390552430952425,-7.080303698537649,24.989643590150592,25.419509797334737,-43.66345181525434
10.6,0.2652652652652653,13.001256267127697,-24.844482647545195,7.251982419198027,-6.302306072908776,16.30916611259543,25.658058619209793,-18.5267171579006,-5.83680401601989,12.76903443718706,-37.321467031034075,-2.777999844244489,22.39344419280596,-7.065667633606381,24.990466509675027,25.4196292841917,-43.66443491148769
10.64,0.26626626626626626,12.998123110921673,-24.84572672723653,7.246712663376736,-6.299643898700049,16.307997315092898,25.65637784327403,-18.528463805087558,-5.839258206558094,12.765398124590366,-37.32302989790687,-2.7762612466560226,22.396451627630956,-7.051196399384485,24.991380120690547,25.41973023638597,-43.66543233318996
10.68,0.26726726726726724,12.995000131168407,-24.846970961063096,7.241453414074206,-6.2969956841227,16.30684919911633,25.65469129370402,-18.530211309740604,-5.841825109678314,12.761820333002975,-37.32460324385109,-2.774487078314695,22.399577613195795,-7.036892312534261,24.992383182562133,25.419812901071758,-43.66644384134727
10.72,0.2682682682682683,12.99188769400347,-24.848215526008122,7.2362048122883955,-6.294361689975048,16.30572216696259,25.652998897691837,-18.531959341593186,-5.844506726445563,12.758299667508268,-37.32618695670358,-2.7726748240215473,22.402825134348415,-7.02275744977709,24.993474344854558,25.41987752400525,-43.667469199895045
10.76,0.26926926926926925,12.98878614563781,-24.849460590938897,7.230966995745804,-6.2917421725251295,16.30461664505042,25.651300586070143,-18.533707594756756,-5.847305145770612,12.754834557463447,-37.32778094636983,-2.770821910907767,22.40619728801342,-7.008793655456885,24.994652152983175,25.41992434905899,-43.668508176053734
10.8,0.2702702702702703,12.985695810356614,-24.850706316931802,7.225740098720207,-6.289137383480076,16.303533084657197,25.649596293045033,-18.535455788844708,-5.850222548717249,12.75142326099282,-37.32938514581837,-2.7689257063113764,22.409697288223715,-6.9950025496107076,24.995915053924747,25.419953617721205,-43.66956054068365
