t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
23.64,0.7887887887887888,-21.505655719621174,-2.652297655110609,9.92158562439667,-21.51379722039119,35.07518379698994,-34.080231418877574,9.917843744842113,-21.50612803806472,-2.645628008916462,-8.937145361596917,-8.942648090878855,35.072726010472515,-21.503792933258634,22.497872261822536,9.915774071999076,16.20930206167098,-34.07786795132207,-34.0843346143282,-27.790402419262676,22.488344865734533,35.050785459846416,9.914665707616056,-34.08162226031992,-40.36638144242336,9.912230131046059,22.495666382848622,28.770279873534754,35.05876900032969,3.6335180628710733,9.91961639242612
23.669999999999998,0.7897897897897898,-21.505648524368564,-2.652295163241118,9.921578129306566,-21.51377919566336,35.07514886805319,-34.080213484815985,9.917841189796343,-21.506120312015998,-2.6456345516132704,-8.937140787266493,-8.942636249511771,35.07269445579784,-21.503788314603973,22.497851690520424,9.915774384979663,16.209288650367522,-34.07785341945973,-34.0843113175134,-27.79039319342776,22.48833706059189,35.05078299013778,9.9146673258267,-34.08160249408194,-40.36635971188285,9.912235058786175,22.495648786547093,28.77027369668582,35.05875605886961,3.6335170107993022,9.919611676475082
23.7,0.7907907907907907,-21.50564134775173,-2.6522926786396246,9.921570654196668,-21.513761219120727,35.07511403265792,-34.08019559796549,9.917838641424662,-21.50611260565213,-2.645641076253907,-8.93713622534835,-8.942624440157607,35.07266298499775,-21.503783707145054,22.497831174419446,9.9157746963168,16.209275274727414,-34.07783892443715,-34.084288082125326,-27.7903839915803,22.488329275426832,35.05078052542954,9.914668939550587,-34.08158277997412,-40.36633803828987,9.912239972717797,22.49563123717258,28.770267535539315,35.05874315034977,3.633515961336767,9.919606972252337
23.73,0.7917917917917918,-21.50563418969773,-2.652290201272785,9.921563198985526,-21.51374329056602,35.0750792904206,-34.08017775813704,9.917836099700478,-21.506104918897933,-2.6456475829152963,-8.937131675790559,-8.94261266268333,35.07263159773222,-21.50377911084253,22.49781071329245,9.91577500602175,16.209261934605816,-34.07782446611516,-34.084264907917635,-27.790374813625874,22.48832151016265,35.0507780657101,9.914670548806784,-34.081563117787184,-40.36631642141797,9.912244872900885,22.49561373453352,28.770261390035373,35.058730274644766,3.6335149144739645,9.919602279714972
23.759999999999998,0.7927927927927928,-21.505627050134,-2.6522877311074686,9.921555763592144,-21.513725409803076,35.07504464095982,-34.08015996514259,9.917833564597345,-21.506097251678593,-2.6456540716739125,-8.937127138541491,-8.942600916956673,35.07260029366309,-21.503774525657235,22.497790306913554,9.915775314105684,16.209248629858692,-34.07781004435525,-34.08424179464531,-27.790365659470567,22.488313764723014,35.05077561096788,9.914672153614246,-34.08154350731299,-40.36629486104194,9.912249759395044,22.49559627843942,28.770255260114435,35.05871743162983,3.6335138702014342,9.919597598820273
23.79,0.7937937937937938,-21.505619928988363,-2.652285268110759,9.921548347935975,-21.513707576636833,35.07501008389633,-34.08014221879513,9.917831036088959,-21.50608960391969,-2.6456605426057838,-8.937122613549818,-8.942589202846115,35.07256907245407,-21.503769951550172,22.497769955058157,9.915775620579673,16.2092353603428,-34.07779565901962,-34.08421874206465,-27.790356529020958,22.48830603903199,35.050773161191316,9.914673753991819,-34.08152394834455,-40.36627335693778,9.912254632259518,22.49557886870085,28.77024914571725,35.05870462118083,3.6335128285097604,9.919592929525727
23.82,0.7947947947947948,-21.50561282618902,-2.652282812249949,9.921540951936919,-21.513689790873308,35.07497561885298,-34.08012451890865,9.917828514149162,-21.50608197554718,-2.6456669957864953,-8.9371181007645,-8.942577520220887,35.072537933770704,-21.503765388482513,22.49774965750291,9.9157759254547,16.209222125915687,-34.07778130997114,-34.0841957499333,-27.79034742218412,22.488298333014026,35.050770716368824,9.914675349958243,-34.081504440675964,-40.36625190888266,9.912259491553202,22.49556150512943,28.77024304678486,35.058691843174245,3.6335117893895696,9.919588271789022
23.849999999999998,0.7957957957957957,-21.505605741664546,-2.652280363492542,9.921533575515317,-21.513672052319606,35.07494124545473,-34.080106865298134,9.91782599875194,-21.50607436648739,-2.645673431291193,-8.937113600134795,-8.942565868950958,35.072506877280354,-21.503760836415605,22.497729414025727,9.915776228741654,16.209208926435686,-34.07776699707335,-34.084172818010195,-27.790338338867617,22.488290646593956,35.05076827648884,9.914676941532152,-34.08148498410248,-40.366230516654966,9.912264337334637,22.49554418753783,28.770236963258608,35.05867909748718,3.633510752831532,9.919583625568041
23.88,0.7967967967967968,-21.505598675343894,-2.652277921806247,9.921526218591955,-21.513654360783903,35.07490696332862,-34.0800892577796,9.917823489871417,-21.506066776667023,-2.645679849194586,-8.93710911161025,-8.942554248907035,35.07247590265222,-21.50375629531096,22.497709224405757,9.915776530451332,16.209195761761908,-34.07775272019048,-34.08414994605558,-27.790329278979502,22.488282979696997,35.050765841539786,9.914678528732074,-34.08146557842044,-40.366209180034254,9.912269169662016,22.49552691573976,28.770230895080136,35.058666383997355,3.6335097188263603,9.919578990820867
23.91,0.7977977977977978,-21.505591627156385,-2.65227548715898,9.921518881088053,-21.513636716075435,35.07487277210377,-34.080071696170016,9.917820987481857,-21.506059206013152,-2.6456862495709506,-8.937104635140697,-8.942542659960555,35.0724450095573,-21.50375176513026,22.497689088423385,9.91577683059444,16.20918263175424,-34.07773847918743,-34.08412713383099,-27.790320242428315,22.48827533224874,35.0507634115101,9.91468011157643,-34.081446223427285,-40.36618789880126,9.912273988593187,22.49550968954996,28.77022484219138,35.0586537025831,3.63350868736481,9.919574367505776
23.939999999999998,0.7987987987987988,-21.50558459703171,-2.6522730595188597,9.921511562925264,-21.5136191180045,35.074838671411335,-34.08005418028736,9.917818491557666,-21.50605165445322,-2.6456926324941326,-8.93710017067626,-8.94253110198368,35.07241419766838,-21.503747245835356,22.497669005860224,9.915777129181595,16.209169536273325,-34.07772427392975,-34.08410438109924,-27.79031122912307,22.488267704175158,35.05076098638822,9.914681690083539,-34.08142691892156,-40.36616667273788,9.912278794185655,22.49549250878419,28.77021880453456,35.05864105312336,3.6335076584376793,9.919569755581241
23.97,0.7997997997997998,-21.505577584899925,-2.652270638854207,9.921504264025675,-21.51360156638244,35.07480466088454,-34.08003670995058,9.917816002073385,-21.50604412191504,-2.645698998037552,-8.93709571816734,-8.942519574849294,35.07238346666003,-21.503742737388265,22.4976489764991,9.915777426223327,16.209156475180585,-34.077710104283675,-34.084081687624426,-27.79030223897326,22.488260095402598,35.0507585661626,9.914683264271613,-34.08140766470287,-40.366145501627194,9.912283586496585,22.495475373259232,28.770212782052205,35.05862843549768,3.6335066320358083,9.919565155005927
24.0,0.8008008008008007,-21.505570590691455,-2.652268225133543,9.921496984311798,-21.51358406102165,35.074770740158606,-34.0800192849796,9.917813519003694,-21.506036608326777,-2.6457053462742044,-8.937091277564626,-8.942508078430993,35.07235281620858,-21.503738239751172,22.49762900012405,9.915777721730075,16.209143448338185,-34.077695970116075,-34.084059053171906,-27.790293271888864,22.488252505857776,35.050756150821684,9.914684834158765,-34.08138846057194,-40.36612438525339,9.912288365582803,22.495458282792878,28.770206774687118,35.05861584958621,3.6335056081500796,9.919560565738694
24.029999999999998,0.8018018018018018,-21.50556361433708,-2.652265818325588,9.921489723706571,-21.513566601735548,35.0747369088708,-34.080001905195296,9.917811042323407,-21.506029113616968,-2.645711677276666,-8.937086848819083,-8.942496612603085,35.07232224599213,-21.503733752886426,22.49760907652031,9.915778015712194,16.209130455609046,-34.077681871294494,-34.08403647750829,-27.79028432778032,22.488244935467783,35.05075374035394,9.914686399763001,-34.081369306330515,-40.366103323401845,9.912293131500805,22.49544123720392,28.770200782382393,35.05860329526969,3.633504586771417,9.919555987738592
24.06,0.8028028028028028,-21.505556655767947,-2.6522634183992584,9.921482482133355,-21.513549188338583,35.07470316666035,-34.079984570419505,9.917808572007477,-21.50602163771451,-2.645717991117095,-8.937082431881956,-8.94248517724058,35.07229175569053,-21.50372927675654,22.497589205474302,9.91577830817995,16.209117496856837,-34.077667807687114,-34.08401396040145,-27.79027540655854,22.488237384160072,35.05075133474783,9.914687961102228,-34.08135020178144,-40.36608231585903,9.91229788430675,22.495424236312143,28.770194805081413,35.05859077242946,3.633503567890787,9.919551420964865
24.09,0.8038038038038038,-21.505549714915553,-2.6522610253236665,9.921475259515928,-21.51353182064622,35.0746695131685,-34.07996728047503,9.917806108030987,-21.50601418054865,-2.645724287867236,-8.937078026704762,-8.942473772219186,35.07226134498533,-21.503724811324194,22.497569386773634,9.915778599143527,16.20910457194597,-34.07765377916276,-34.08399150162048,-27.790266508134895,22.488229851862464,35.05074893399182,9.914689518194251,-34.08133114672861,-40.36606136241258,9.912302624056466,22.495407279938323,28.77018884272784,35.05857828094745,3.633502551499196,9.919546865376942
24.119999999999997,0.8048048048048048,-21.505542791711754,-2.6522586390681173,9.921468055778483,-21.51351449847495,35.07463594803845,-34.079950035185604,9.917803650369159,-21.506006742048992,-2.6457305675984215,-8.937073633239297,-8.94246239741531,35.07223101355982,-21.50372035655223,22.49754962020708,9.915778888613023,16.20909168074159,-34.07763978559092,-34.083969100935725,-27.79025763242123,22.488222338503142,35.05074653807439,9.914691071056778,-34.081312140976955,-40.36604046285123,9.912307350805458,22.495390367904214,28.770182895265624,35.05856582070618,3.6335015375876942,9.919542320934443
24.15,0.8058058058058059,-21.505535886088758,-2.652256259602109,9.92146087084563,-21.513497221642254,35.07460247091535,-34.079932834375896,9.917801198997342,-21.505999322145495,-2.6457368303815776,-8.937069251437624,-8.942451052706046,35.07220076109901,-21.503715912403646,22.49752990556459,9.91577917659845,16.209078823109564,-34.0776258268417,-34.08394675811874,-27.79024877932984,22.488214844010653,35.05074414698404,9.914692619707411,-34.08129318433246,-40.36601961696483,9.912312064608905,22.49537350003255,28.77017696263899,35.05855339158874,3.6335005261473707,9.919537787597179
24.18,0.8068068068068068,-21.505528997979123,-2.65225388689533,9.921453704642385,-21.51347998996662,35.074569081446306,-34.07991567787151,9.917798753891017,-21.50599192076847,-2.6457430762872236,-8.937064881252075,-8.94243973796917,35.07217058728959,-21.503711478841613,22.497510242637265,9.915779463109741,16.2090659989165,-34.07761190278585,-34.08392447294231,-27.79023994877348,22.488207368313898,35.05074176070925,9.91469416416366,-34.08127427660214,-40.365998824544334,9.912316765521663,22.495356676147022,28.770171044792438,35.0585409934788,3.6334995171693563,9.919533265325143
