Time,mean_NED,lower_NED,upper_NED,mean_NED_ab,lower_NED_ab,upper_NED_ab,mean_NED_t,lower_NED_t,upper_NED_t
0.63,1.0955059055582177e-07,-3.923884126573221e-08,2.583400223773758e-07,0.002216331303255326,0.0019338783779344572,0.002498784228576195,0.002309305417540671,0.001297834405347607,0.0033207764297337353
0.64,1.1033376644203669e-07,-3.9509351952005664e-08,2.6017688483607903e-07,0.0022293210149798514,0.0019451414703486889,0.002513500559611014,0.002421119568445286,0.0012957462611625783,0.0035464928757279936
0.65,1.1110507149128337e-07,-3.9775204249575514e-08,2.6198534723214223e-07,0.002242098700541529,0.0019562181730180344,0.0025279792280650235,0.0025466473422061458,0.0012885008188913078,0.0038047938655209838
0.66,1.1186484570286419e-07,-4.003653685655786e-08,2.6376622826228625e-07,0.002254671677991966,0.001967114915695873,0.002542228440288059,0.0026885645517756946,0.0012747294280240856,0.004102399675527304
0.67,1.1261341717606692e-07,-4.029348522235593e-08,2.655203195744898e-07,0.0022670469792146226,0.001977837876601566,0.002556256081827679,0.002850174744993449,0.001252697002959854,0.0044476524870270435
0.68,1.1335110250699057e-07,-4.05461816937076e-08,2.6724838670768876e-07,0.0022792313629712334,0.001988392993765611,0.002570069732176856,0.0030355228994504496,0.001220231344445591,0.004850814454455309
0.6900000000000001,1.1407820717187772e-07,-4.079475565315149e-08,2.6895116999690695e-07,0.0022912313272248235,0.0019987859757331075,0.0025836766787165396,0.003249463245836902,0.0011746810648816971,0.005324245426792107
0.7000000000000001,1.1479502589458051e-07,-4.1039333652716884e-08,2.706293854418779e-07,0.002303053120818476,0.002009022311707768,0.002597083929929184,0.0034975887828611464,0.0011129612162872927,0.005882216349435
0.71,1.1550184300025497e-07,-4.128003954222816e-08,2.722837255427381e-07,0.0023147027545921657,0.0020191072812234074,0.002610298227960924,0.0037858539782423917,0.0010317951151174588,0.006539912841367325
0.72,1.1619893275479311e-07,-4.151699459313497e-08,2.739148601027212e-07,0.002326186012011929,0.0020290459634208745,0.002623326060602983,0.004119647830127722,0.0009283099440812615,0.007310985716174183
0.73,1.1688655969172807e-07,-4.175031761693647e-08,2.7552343700039265e-07,0.002337508459366584,0.0020388432459860226,0.0026361736727471457,0.004502117057207343,0.0008011185903494113,0.008203115524065274
0.74,1.1756497892792215e-07,-4.1980125077705214e-08,2.7711008293354953e-07,0.00234867545556259,0.002048503833775121,0.002648847077350059,0.00493192437483492,0.0006517746100953318,0.009212074139574509
0.75,1.1823443646569394e-07,-4.2206531201781216e-08,2.786754041331691e-07,0.0023596921615251735,0.002058032257127523,0.002661352065922824,0.00540146157746684,0.0004859490704197354,0.010316974084513944
0.76,1.1889516948666513e-07,-4.242964808005999e-08,2.8021998705339024e-07,0.0023705635491996628,0.0020674328798487977,0.002673694218550528,0.005897201681561214,0.0003132427885787943,0.011481160574543634
0.77,1.1954740663344885e-07,-4.264958576715298e-08,2.817443990340507e-07,0.002381294410143004,0.0020767099068433503,0.002685878913442658,0.006403011382669422,0.00014509215462563292,0.012660930610713212
0.78,1.201913682843087e-07,-4.2866452373269056e-08,2.8324918894188647e-07,0.002391889363699991,0.0020858673913815937,0.0026979113360183883,0.006904814043636715,-8.21071943350217e-06,0.013817838806706933
0.79,1.2082726681726102e-07,-4.308035415270855e-08,2.847348877872306e-07,0.002402352864767079,0.002094909241997431,0.002709796487536727,0.007393709224955263,-0.00013952435025605878,0.014926942800166584
0.8,1.2145530686635808e-07,-4.3291395586908484e-08,2.8620200931962464e-07,0.0024126892111556316,0.00210383922902312,0.002721539193288143,0.007866292788974952,-0.00024507280896249317,0.015977658386912397
0.81,1.220756855719363e-07,-4.3499679460823576e-08,2.876510506046962e-07,0.0024229025505730496,0.0021126609907771068,0.0027331441103689924,0.008323196936900697,-0.00032351537721359014,0.016969909251014985
0.8200000000000001,1.2268859282328264e-07,-4.370530693440623e-08,2.890824925809715e-07,0.0024329968872441534,0.0021213780394255355,0.0027446157350627712,0.008767359737804112,-0.0003748413393668184,0.017909560814975044
0.8300000000000001,1.2329421149573944e-07,-4.390837760814437e-08,2.9049680059962325e-07,0.0024429760881965264,0.002129993766540177,0.002755958409852876,0.009202772905996488,-0.00039957820352606345,0.018805124015519037
0.84,1.238927176836183e-07,-4.410898958147981e-08,2.918944249487164e-07,0.002452843889233071,0.0021385114483753044,0.0027671763300908376,0.00963377248118202,-0.00039836467654637275,0.019665909638910413
0.85,1.244842809278584e-07,-4.43072395056487e-08,2.932758013613655e-07,0.002462603900613557,0.0021469342508846027,0.0027782735503425115,0.010064693078874774,-0.00037178394229296294,0.02050117010004251
0.86,1.2506906443962385e-07,-4.4503222630221996e-08,2.946413515094697e-07,0.002472259612465066,0.0021552652344972193,0.002789253990432913,0.010499706001940938,-0.0003203531184054788,0.021319765122287355
0.87,1.2564722532477888e-07,-4.469703283897886e-08,2.9599148348853665e-07,0.002481814399939287,0.002163507358670011,0.002800121441208563,0.0109427201314451,-0.00024460145605983974,0.02213004171895004
0.88,1.2621891480268895e-07,-4.488876268154199e-08,2.973265922869199e-07,0.0024912715281328293,0.002171663486231114,0.002810879570034545,0.011397274945982958,-0.0001451969447434174,0.02293974683670933
0.89,1.267842784272888e-07,-4.50785033940703e-08,2.986470602486479e-07,0.002500634156785086,0.002179736387528282,0.0028215319260418903,0.011866390444747245,-2.3090433481025296e-05,0.023755871322975516
0.9,1.273434563074545e-07,-4.526634491165376e-08,2.9995325752656274e-07,0.002509905344766958,0.0021877287443941382,0.0028320819451397774,0.012352368925618753,0.00012035829462076625,0.02458437955661674
0.91,1.278965833306873e-07,-4.5452375868823915e-08,3.012455425301985e-07,0.0025190880543724246,0.002195643153939166,0.0028425329548056833,0.01285657724931336,0.0002833188456950603,0.02542983565293166
0.92,1.2844378938834622e-07,-4.5636683590660177e-08,3.025242623673526e-07,0.0025281851554241996,0.002203482132182507,0.0028528881786658924,0.013379275029815967,0.0004635432795468287,0.026295006780085103
0.93,1.289851996058542e-07,-4.581935407111369e-08,3.0378975328282213e-07,0.0025371994292037047,0.0022112481175296664,0.002863150740877743,0.013919579523235259,0.0006585658779280305,0.02718059316854249
0.9400000000000001,1.2952093458076402e-07,-4.6000471935852454e-08,3.050423410973805e-07,0.0025461335722150326,0.0022189434741056897,0.0028733236703243755,0.014475646649212437,0.0008660335855880941,0.02808525971283678
0.9500000000000001,1.3005111062463027e-07,-4.618012039438364e-08,3.0628234164364417e-07,0.002554990199791841,0.002226570494951686,0.002883409904631996,0.015045083963531698,0.0010840894864785865,0.02900607844058481
0.96,1.305758400203482e-07,-4.635838116956967e-08,3.0751006121026607e-07,0.002563771849555671,0.0022341314050921767,0.002893412294019165,0.01562551611547284,0.0013116949525756628,0.029939337278370014
0.97,1.3109523128695977e-07,-4.6535334413278896e-08,3.0872579698719846e-07,0.002572480984733575,0.0022416283644801833,0.0029033336049869665,0.0162151529321926,0.0015487957101895638,0.030881510154195636
0.98,1.3160938945980956e-07,-4.671105860018444e-08,3.099298375198036e-07,0.002581119997342568,0.0022490634708266393,0.002913176523858497,0.01681321329268628,0.0017963035218879295,0.03183012306348463
0.99,1.3211841638894797e-07,-4.688563039725728e-08,3.111224631751532e-07,0.00258969121124796,0.0022564387623202984,0.0029229436601756215,0.017420128356063408,0.002055932862612594,0.03278432384951422
1.0,1.3262241105606817e-07,-4.705912450866745e-08,3.1230394662080377e-07,0.0025981968851021883,0.002263756220243925,0.0029326375499604514,0.01803753213277274,0.0023299612019233897,0.03374510306362209
1.01,1.3312146991525883e-07,-4.723161349132745e-08,3.134745533218451e-07,0.002606639215170464,0.00227101777149226,0.002942260658848668,0.018668096097428685,0.0026209685716280864,0.034715223623229284
1.02,1.3361568726046806e-07,-4.7403167538205676e-08,3.146345420591418e-07,0.0026150203380491165,0.0022782252909968894,0.0029518153851013436,0.019315266125184024,0.0029315800690463654,0.035698952181321686
1.03,1.3410515562284292e-07,-4.7573854226315953e-08,3.1578416547200176e-07,0.0026233423332822025,0.002285380604062829,0.002961304062501576,0.019982934072240586,0.0032642082507665163,0.036701659893714655
1.04,1.3458996620421324e-07,-4.7743738223518505e-08,3.16923670631945e-07,0.002631607225881621,0.0022924854886213586,0.0029707289631418833,0.02067504931572285,0.0036207838294542057,0.0377293148019915
1.05,1.3507020935034015e-07,-4.791288095051629e-08,3.1805329965119657e-07,0.002639816988755622,0.0022995416774032936,0.002980092300107951,0.021395167112596637,0.004002475582248203,0.03878785864294507
1.06,1.355459750690245e-07,-4.808134019307619e-08,3.1917329033112523e-07,0.0026479735450502906,0.002306550860036597,0.002989396230063984,0.022145951218020717,0.004409430534853969,0.03988247190118746
1.07,1.360173536008237e-07,-4.824916965699004e-08,3.202838768586375e-07,0.002656078770408261,0.0023135146850719367,0.0029986428557445856,0.022928696637008715,0.0048406014690778355,0.0410167918049396
