Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
2.54,1.364930629550512e-08,1.1697599537498506e-08,1.5601013053511736e-08,0.3004453284160211,0.2526487892237521,0.3482418676082901,0.6493432899590563,0.5722468509565594,0.7264397289615533,8.968776723326415e-09,7.709628382594942e-09,1.0227925064057887e-08
2.5500000000000003,1.3638314654622983e-08,1.16884638872844e-08,1.5588165421961566e-08,0.300395988500461,0.2526035889531177,0.34818838804780433,0.6493361335549711,0.5722404731854891,0.7264317939244531,8.961726603070288e-09,7.703669788376026e-09,1.021978341776455e-08
2.56,1.3627357076546761e-08,1.1679356717337439e-08,1.5575357435756083e-08,0.30034659112226414,0.25255833282369944,0.34813484942082884,0.6493289930477885,0.5722341095319028,0.7264238765636741,8.954698477638336e-09,7.697729793015021e-09,1.0211667162261652e-08
2.57,1.3616433431828975e-08,1.1670277917128573e-08,1.5562588946529377e-08,0.3002971363232738,0.25251302087152705,0.3480812517750206,0.6493218684335363,0.5722277599925886,0.7264159768744841,8.947692275650276e-09,7.691808338465342e-09,1.020357621283521e-08
2.58,1.360554361248072e-08,1.1661227398801676e-08,1.5549859826159764e-08,0.3002476241447086,0.2524676531320502,0.34802759515736703,0.6493147597082696,0.5722214245643574,0.7264080948521817,8.940707921848293e-09,7.685905360999552e-09,1.0195510482697035e-08
2.59,1.3594687495616418e-08,1.1652205061058969e-08,1.5537169930173866e-08,0.30019805462716215,0.2524222296401384,0.3479738796141859,0.6493076668680695,0.5722151032440431,0.7264002304920959,8.933745338562706e-09,7.680020794998484e-09,1.0187469882126928e-08
2.6,1.358386496524734e-08,1.1643210805133567e-08,1.5524519125361112e-08,0.30014842781060425,0.2523767504300816,0.34792010519112687,0.6493005899090447,0.5722087960285029,0.7263923837895865,8.92680445416201e-09,7.674154579183493e-09,1.0179454329140526e-08
2.61,1.3573075897494211e-08,1.1634244528829766e-08,1.5511907266158657e-08,0.3000987437343804,0.2523312155355901,0.34786627193317066,0.6492935288273339,0.5722025029146206,0.7263845547400473,8.91988518615917e-09,7.668306645596419e-09,1.0171463726721922e-08
2.62,1.3562320180022412e-08,1.162530613678236e-08,1.5499334223262466e-08,0.3000490024372129,0.2522856249897951,0.34781237988463065,0.6492864836190988,0.5721962238992987,0.7263767433388989,8.912987457959834e-09,7.662476926844866e-09,1.0163497989074802e-08
2.63,1.3551597696138071e-08,1.1616395535005142e-08,1.5486799857271002e-08,0.29999920395720164,0.25223997882524957,0.3477584290891537,0.649279454280531,0.5721899589794665,0.7263689495815956,8.906111194592731e-09,7.656665361583982e-09,1.0155557027601481e-08
2.64,1.354090833462826e-08,1.1607512628632669e-08,1.547430404062385e-08,0.2999489764408331,0.2521939635716787,0.3477039893099875,0.6492724408078492,0.572183708152076,0.7263611734636224,8.899256335451583e-09,7.650871900238857e-09,1.0147640770664308e-08
2.65,1.3530251971350588e-08,1.1598657315008117e-08,1.5461846627693058e-08,0.29989721815499626,0.25214665047393353,0.347647785836059,0.6492654431972992,0.572177471414103,0.7263534149804953,8.892422789879014e-09,7.645096464285376e-09,1.0139749115472651e-08
2.66,1.3519628496795772e-08,1.1589829501613565e-08,1.544942749197798e-08,0.29984540352781336,0.25209928246808344,0.3475915245875433,0.6492584614451526,0.5721712487625453,0.72634567412776,8.885610494372033e-09,7.639339000467164e-09,1.0131881988276902e-08
2.67,1.3509037803240104e-08,1.158102910043687e-08,1.543704650604334e-08,0.299793532563771,0.2520518595584294,0.3475352055691126,0.6492514955477086,0.5721650401944242,0.726337950900993,8.878819370047618e-09,7.633599442168356e-09,1.012403929792688e-08
2.68,1.3498479762247227e-08,1.157225600276508e-08,1.5424703521729377e-08,0.2997416052668602,0.25200438174879364,0.3474788287849268,0.6492445455012953,0.5721588457067864,0.7263302452958041,8.872049342582786e-09,7.627877727162014e-09,1.0116220958003558e-08
2.69,1.348795428569061e-08,1.1563510137889634e-08,1.5412398433491584e-08,0.2996896216405748,0.2519568490425181,0.34742239423863147,0.6492376113022672,0.5721526652967013,0.7263225573078331,8.8653003498934e-09,7.622173803536117e-09,1.0108426896250684e-08
2.7,1.3477461236553381e-08,1.1554791389291177e-08,1.5400131083815585e-08,0.2996375816879125,0.2519092614424656,0.34736590193335937,0.6492306929470025,0.5721464989612581,0.7263148869327469,8.85857230570048e-09,7.616487596807657e-09,1.0100657014593303e-08
2.71,1.3467000511300987e-08,1.1546099670070888e-08,1.5387901352531086e-08,0.299585485411374,0.25186161895101883,0.3473093518717291,0.6492237904319136,0.5721403466975765,0.7263072341662506,8.851865149915791e-09,7.610819058048809e-09,1.0092911241782773e-08
2.72,1.3456572014058138e-08,1.1537434903103908e-08,1.537570912501237e-08,0.2995333328129629,0.25181392157008037,0.34725274405584544,0.6492169037534324,0.5721342085027922,0.7262995990040727,8.84517881451354e-09,7.605168130227487e-09,1.0085189498799594e-08
2.73,1.3446175621786936e-08,1.1528796984909842e-08,1.536355425866403e-08,0.2994811238941853,0.2517661693010721,0.3471960784872985,0.649210032908023,0.5721280843740689,0.7262919814419772,8.8385132144424e-09,7.599534739946473e-09,1.0077491688938328e-08
2.74,1.3435811229678525e-08,1.1520185828252547e-08,1.5351436631104505e-08,0.2994288586560499,0.2517183621449355,0.3471393551671643,0.6492031778921741,0.5721219743085915,0.7262843814757567,8.83186828713087e-09,7.593918835564767e-09,1.0069817738696973e-08
2.75,1.3425478724492489e-08,1.1511601337684393e-08,1.5339356111300583e-08,0.29937653709906725,0.25167050010213066,0.34708257409600385,0.6491963387024019,0.5721158783035687,0.7262767991012351,8.825243962459402e-09,7.588320357350628e-09,1.0062167567568175e-08
2.7600000000000002,1.3415177998813506e-08,1.1503043424400418e-08,1.532731257322659e-08,0.29932415922324973,0.25162258317263664,0.3470257352738628,0.6491895153352503,0.5721097963562329,0.7262692343142676,8.818640174173524e-09,7.5827392504459e-09,1.0054541097901149e-08
2.77,1.3404908952192232e-08,1.1494512004643555e-08,1.531530589974091e-08,0.29927172502811084,0.2515746113559504,0.3469688387002713,0.6491827077872903,0.5721037284638404,0.7262616871107401,8.812056846123976e-09,7.5771754494358e-09,1.0046938242812153e-08
2.7800000000000002,1.3394671468561477e-08,1.14860069814481e-08,1.5303335955674855e-08,0.29921923451266574,0.2515265846510873,0.3469118843742442,0.6491759160551179,0.572097674623668,0.7262541574865679,8.80549391911821e-09,7.571628905779738e-09,1.0039358932456683e-08
2.79,1.338446545196189e-08,1.1477528276886845e-08,1.5291402627036935e-08,0.2991666876754298,0.2514785030565798,0.3468548722942798,0.649169140135358,0.5720916348330183,0.7262466454376977,8.79895131284093e-09,7.566099548975399e-09,1.003180307670646e-08
2.8000000000000003,1.3374290783805257e-08,1.1469075788820657e-08,1.5279505778789858e-08,0.2991140845144193,0.2514303665704783,0.3467978024583603,0.6491623800246632,0.5720856090892178,0.7262391509601086,8.792428966758695e-09,7.56058733166068e-09,1.0024270601856709e-08
2.81,1.3364147371744526e-08,1.1460649444318416e-08,1.5267645299170635e-08,0.29906142502715033,0.25138217519034955,0.3467406748639511,0.6491556357197099,0.5720795973896129,0.7262316740498069,8.785926813260448e-09,7.555092195625877e-09,1.0016761430895019e-08
2.82,1.3354035112016634e-08,1.1452249155283331e-08,1.5255821068749936e-08,0.29900870921063905,0.2513339289132772,0.3466834895080009,0.6491489072172041,0.5720735997315759,0.7262242147028323,8.779444785702863e-09,7.549614083435085e-09,1.000927548797064e-08
