t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.96,0.04804804804804805,30.17103397695199,-27.83107870271994,-37.454063992383624,-22.07893831644944,-40.992745442109644,33.836283246581566,22.851506640773135,15.272805893331483,-29.49109497115181,19.713065478524157,-10.591871484063763,34.672987678918844,-24.17458870165629,1.8805903144172886,32.96303799417568,-23.98678045565299,25.937118400411464,-11.969710950900394,21.042326358524672,2.4573683696754953,-10.462208110765417
0.98,0.04904904904904905,30.16859022429646,-27.83408041276336,-37.45193835786511,-22.08073345122519,-40.99768030314743,33.838854579032805,22.85228059202294,15.271891814540572,-29.490823498275944,19.716493526632146,-10.591655400982798,34.672914942369296,-24.173122560410096,1.8823894728517845,32.963972642268836,-23.98675846756999,25.939176219025974,-11.969539245210635,21.042751612503956,2.457234490586282,-10.465175194248038
1.0,0.050050050050050046,30.166058313935256,-27.83712905784875,-37.44973229306938,-22.082550828335986,-41.00268088552679,33.8414536455471,22.853050122927023,15.270947559165231,-29.49051948089261,19.719992195779792,-10.591428807698739,34.67280672881355,-24.171608449283987,1.8842245171858154,32.96489824038336,-23.986715493969193,25.941255767410656,-11.969350251078216,21.04316347591402,2.45709864665561,-10.46819044158131
1.02,0.05105105105105105,30.163437369725155,-27.840225047179647,-37.447445570594844,-22.08439065844385,-41.007746900558935,33.84408058194472,22.85381511790711,15.269973233428429,-29.490182755434805,19.723562319256708,-10.591191894249713,34.67266275029432,-24.170046600086707,1.8860954428808028,32.96581482501193,-23.986651561850742,25.9433571065511,-11.969143776648814,21.04356173913715,2.456961040650982,-10.471253537307922
1.04,0.05205205205205205,30.160726491629337,-27.84336879437583,-37.44507796424268,-22.086253155213505,-41.01287804348698,33.84673552615186,22.854575457510236,15.268968946075256,-29.48981315389163,19.727204738428778,-10.590944855540709,34.672482714334606,-24.168437251587484,1.8880022440997024,32.96672243763335,-23.986566701527337,25.945480299505782,-11.968919628603514,21.043946193134808,2.4568218808298337,-10.474364156431445
1.06,0.05305305305305305,30.157924755682753,-27.846560717261237,-37.442629249358234,-22.088138535123438,-41.018073992940295,33.849418618123494,22.85533101830501,15.267934808366991,-29.489410503799267,19.730920302206325,-10.590687891360442,34.67226632398187,-24.16678064951183,1.889944913594071,32.96762112470571,-23.986460946651054,25.94762541134125,-11.968677612277574,21.04431662961663,2.456681380951985,-10.477521964160278
1.08,0.05405405405405406,30.155031213968904,-27.84980123763894,-37.440099203184324,-22.090047017267484,-41.02333441038349,33.85212999976141,22.85608167277449,15.266870934074829,-29.488974628235287,19.73470986648154,-10.590421206394833,34.67201327785905,-24.16507704653712,1.891923442591867,32.96851093766006,-23.98633433423902,25.949792509066935,-11.968417531782894,21.044672841214194,2.456539760291228,-10.48072661564866
1.1,0.055055055055055056,30.152044894609208,-27.853090781052586,-37.43748760522647,-22.09197882314659,-41.02865893956056,33.85486981482703,22.856827289205608,15.265777439473254,-29.488505345816662,19.738574293534008,-10.590145010236883,34.67172327022259,-24.163326702287957,1.8939378206860593,32.96939193289454,-23.986186904697828,25.951981661569548,-11.96813919013424,21.045014621659497,2.4563972436458967,-10.483977755735019
1.12,0.056056056056056056,30.148964801766258,-27.856429776533716,-37.434794237630236,-22.093934176450396,-41.03404720593461,33.85763820884877,22.857567731575102,15.26465444333306,-29.48800247070172,19.742514451403114,-10.58985951739277,34.67139599102796,-24.161529883331177,1.8959880357241072,32.97026417176897,-23.986018701846582,25.95419293954706,-11.967842389379225,21.045341765968185,2.4562540613482446,-10.487275018677934
1.1400000000000001,0.057057057057057055,30.14578991566224,-27.859818656334355,-37.43201888557057,-22.09591330282829,-41.03949881612387,33.8604353290234,22.858302859431916,15.263502066913977,-29.487465812596422,19.746531213226184,-10.5895649472839,34.67103112600289,-24.15968686317052,1.8980740736983752,32.97112772059978,-23.98582977293852,25.956426415442298,-11.967526930732058,21.04565407062742,2.456110449272443,-10.490618027889974
